GRID_CODE;JSOW;JHAR
47079;84.36813354;-9999
47080;78.04259491;-9999
47081;85.39253998;-9999
47082;88.82046509;-9999
47083;80.79779816;-9999
47084;78.85159302;-9999
47085;80.35874176;-9999
47086;80.13600922;-9999
48078;87.29813385;-9999
48079;85.95764923;-9999
48080;84.87890625;-9999
48081;88.526474;-9999
48082;89.58142853;-9999
48083;86.58073425;-9999
48084;84.40700531;-9999
48085;84.8571167;-9999
48086;81.41944885;171.2285461
48087;80;174.0144501
49078;87.42700195;-9999
49079;88.29099274;-9999
49080;87.7322464;-9999
49081;86.4256134;-9999
49082;89.09107971;-9999
49083;89.93747711;-9999
49084;87.61710358;179.2215576
49085;87.18857574;173.5827484
49086;83.47650146;175.4667358
49087;81.38621521;179.4529419
49088;80.82979584;183.2979736
49089;81;182.6037903
49090;81.32055664;181.5559235
50077;86.23636627;-9999
50078;89.99447632;-9999
50079;90;-9999
50080;89.23278046;-9999
50081;85.98353577;-9999
50082;87.42562866;-9999
50083;89.74147797;186.9392242
50084;86.46736145;178.2653961
50085;82.43639374;174.9138794
50086;83.14832306;179.0789032
50087;83.90693665;183.5279541
50088;83.30249023;187.6895447
50089;82.65460968;190.2149811
50090;81.18306732;186.3617401
50090;81.49730682;187.4624329
51077;90.95939636;-9999
51078;90;-9999
51079;90;-9999
51080;89.09288788;-9999
51081;87.47553253;-9999
51082;87.36997223;193.6782227
51083;88.27554321;185.8645172
51084;84.09632111;177.7483368
51085;82.33544159;179.4606171
51086;86.11283112;184.5355835
51087;86.04426575;188.217514
51088;85.66384125;192.3419647
51089;85.60325623;196.9970551
51090;85.54449463;199.0981293
51094;83.82103729;-9999
52077;92.38273621;-9999
52078;91.01652527;-9999
52079;90.47050476;-9999
52080;91.19880676;-9999
52081;90.62806702;-9999
52082;88.53471375;192.6152649
52083;89;184.5294037
52084;86.20128632;180.6430206
52085;84.76565552;184.8700562
52086;88;189.430542
52087;87.50400543;192.7910156
52088;87.54354858;197.8273926
52089;87.57511902;202.6006317
52090;87.29876709;205.0438538
52094;85.18332672;198.5244751
52095;84.49385834;-9999
53077;92.98752594;-9999
53078;91.21671295;-9999
53079;91.67201233;-9999
53080;91.92933655;-9999
53081;91.69551849;199.9561462
53082;90.04891205;192.2333679
53083;87.5971756;185.0247498
53084;85.79572296;184.8346863
53085;85.3972702;189.7500153
53086;88;194.8382263
53087;88;198.105484
53088;88.58427429;203.3853607
53089;89.27999115;208.0866699
53090;89.56070709;211.4576721
53091;90.32259369;214.0453796
53092;90.49169922;213.6162262
53093;89.23196411;209.7462769
53094;87.4318924;205.5270691
53095;86.01787567;201.8375854
53096;87.12454987;204.1412354
54077;93.48111725;-9999
54078;93.24799347;-9999
54079;95.40065002;-9999
54080;95.59380341;206.1339264
54081;94.60043335;199.0010834
54082;92.82077789;190.5234375
54083;84.42248535;186.5816803
54084;80.8664856;190.2574158
54085;87.83286285;194.8800964
54086;90.05339813;200.4495392
54087;90.94174194;204.9263763
54088;91.69826508;209.0863037
54089;91.96798706;212.7832031
54090;91.11871338;214.1472931
54091;91.26070404;216.8310547
54092;91.33209229;215.5337524
54092;90.88166046;213.7800446
54093;88.78002167;209.3356628
54094;87.19377136;204.6018219
54095;86.26895905;202.465332
54096;88.17626953;205.6344604
54097;89.80886841;208.2133026
55077;94.70624542;-9999
55078;95.6958313;-9999
55079;98.30101776;214.6550293
55080;99.06945801;212.8654633
55081;98.37558746;207.9713898
55082;96.99314117;194.2166901
55083;87.79319;192.5064545
55084;81.80318451;196.1500549
55085;90.0496521;201.3175507
55086;94.22679901;206.4158325
55087;94.8189621;211.343689
55088;94.68836212;213.6880951
55089;94.48987579;215.8369751
55090;93.00611115;215.6387177
55091;92.58607483;215.8980255
55092;91.93148041;214.7292023
55093;90.36097717;210.1496735
55094;88.09284973;204.6004028
55095;87.55113983;203.5511475
55096;89.16558075;206.5148163
55097;91.05230713;210.0784607
56077;96.49299622;-9999
56078;98.15921021;-9999
56079;101.2075424;221.1886444
56080;102.142067;223.4872437
56081;101.6015167;215.9633331
56082;99.7579422;203.9056244
56083;92.7207489;201.0943451
56084;88.92209625;203.8513794
56085;94.18122101;208.6036072
56086;97.97997284;213.6528625
56087;98.19932556;215.6274261
56088;97.63188934;217.4848785
56089;96.40943146;217.2729492
56090;94.99023438;216.7984619
56091;94.22621918;216.6980133
56092;93.45540619;215.3757172
56093;92.5456543;212.2847748
56094;91.68315125;208.234787
56095;90.950737;206.0462646
56096;89.93517303;207.8703461
56097;92.15036774;211.7255402
57076;97.4621048;-9999
57077;97.67929077;-9999
57078;100.4397736;220.4390564
57079;103.5331116;223.6274414
57080;103.7448196;224.4961548
57081;103.6425476;220.4402313
57082;101.9356766;215.2646637
57083;97.34742737;211.2338562
57084;96.35816193;212.5706482
57085;99.4983902;215.9298859
57086;102.193512;218.9526062
57087;101.3187485;219.3408508
57088;100.0871277;219.5359192
57089;98.67967987;218.5245514
57090;97.36790466;217.908905
57091;96.68016052;218.1352997
57092;96.25397491;217.6012573
57093;95.9128952;216.9411011
57094;95.20140076;212.1599426
57095;94.46552277;209.1174469
57096;93.01102448;210.8809052
57097;92.68026733;211.5982666
57098;95.3102951;214.2806396
58076;99.28633881;-9999
58077;99.99136353;-9999
58078;102.6753235;223.013504
58079;104.9951706;225
58080;104.3123322;225
58081;104.6131363;225.1595764
58082;103.0997467;222.0887909
58083;100.2251511;218.8173676
58084;101.9256821;220.0559387
58085;104.4825363;222.0343475
58086;104.4347;222
58087;103.1140366;221.1140289
58088;101.8623428;220.4311676
58089;100.2336273;219.6824036
58090;99.78299713;218.9510193
58091;99.04633331;218.5231628
58092;98.83795929;218.4056854
58093;98.88092041;217.3637543
58094;98.51714325;214.5026245
58095;98.17237091;212.7848663
58096;96.9003067;213.7937927
58097;95.70219421;213.40448
58098;95.96459961;214.3097382
59076;100.546257;-9999
59077;102.6210327;-9999
59078;104.1372833;224.78862
59079;104.9289474;225.3953247
