GRID_CODE;JSOW;JHAR
28059;107.8645935;224.1408539
28064;114.1091995;220.6711121
28065;114.9219131;219.8312225
28066;115.5524673;218.9876099
28067;115.6235962;218.6796265
29032;86.95387268;241.1920319
29033;87.62245178;240.5924835
29034;88.29103851;239.9929504
29035;93.97920227;245.4241028
29036;96.07202911;246.5357056
29037;95.68951416;244.2882385
29038;96.46607971;244.0906372
29039;100.6367493;251.6230774
29064;114.424057;221.1929626
29065;115.3586273;220.481369
29066;115.923233;219.7686615
29067;115.6477737;219.4285889
29068;116;218.3760681
29069;116;218.0416412
30030;88.09222412;244.0922241
30031;85.66918945;241.7820129
30032;85.31845856;242.2587433
30033;89.49372864;245.6511536
30034;93.66899872;249.0435638
30035;104.1926498;258.6268616
30036;102.3195267;254.3566589
30037;104.7161102;256.942627
30038;104.6320038;256.0448608
30039;100.6586533;254.9880524
30040;97.17024231;254.4481812
30041;95.65807343;258.8055725
30064;115.2041092;221.3336792
30064;114.6601028;222.3932953
30065;115.9116364;220.9914398
30066;115.9994583;220.5175018
30067;116;219.2967987
30068;116;218.6106262
30069;116;218.1103516
30069;115.8328171;219.699295
30070;115.6047134;221.4411621
31030;90.56139374;246.4109344
31031;87.91149902;243.7548065
31032;86.42031097;242.7593384
31033;85.04360962;241.9279633
31034;94.80806732;250.907196
31035;107.6751099;262.5873718
31036;108.3308334;263.315094
31037;108.2467194;262.4173279
31038;108.1626129;261.5195618
31039;104.4512405;260.4734802
31040;98.1374588;262.9699707
31041;94.74316406;266.5412598
31042;94.67134857;267.6783752
31057;105.5517273;241.8473206
31058;105.9670029;241.1363678
31069;115.9204025;218.9930115
31069;116;218.0887146
31070;115.8741302;219.9714508
31071;115.716217;221.9352875
32029;105.7456131;261.1206665
32030;94.64772797;250.210083
32031;92.25097656;247.9167633
32032;90.87427521;247.0853882
32033;87.4745636;244.0604248
32034;97.48390961;253.2643738
32035;110.1509399;264.7712402
32036;111.723938;266.6356201
32037;111.7291565;267.1374207
32038;111.693222;266.9942627
32039;108.6009979;266.0663452
32040;103.0854874;268.4015808
32041;95.75479889;268.1952515
32042;95.04707336;268.6176758
32044;96;270.9848022
32045;96;270.966095
32047;97.0020752;267.9152832
32056;104.7842636;245.5072784
32056;104.2335663;246.4058533
32057;105.0542603;244.3164063
32058;106.162468;242.3865051
32070;115.979538;218.9607697
32071;115.9371033;221.1057587
32072;115.9028168;222.5874634
33028;117.6751709;267.7134705
33029;112.3822708;267.4117126
33030;98.87834167;254.1502228
33031;96.7049408;252.2428131
33032;88.50080872;244.7808533
33033;92.51600647;248.467453
33034;102.5253601;257.6713867
33035;112.62677;266.9550781
33036;115.0941162;269.5967712
33037;114.9594269;270.0132751
33038;114.252327;270.0808716
33039;111.8783569;270.1988525
33040;105.4839401;270.3743286
33041;98.34713745;270.1829529
33042;95.49227905;269.7306824
