GRID_CODE;JSOW;JRIP
12014;333.5675964;110.8781433
12015;334.3703918;108.7072372
12016;335.0966187;107.0835495
12017;335.5809937;106.5443115
12018;336.0548096;106.2095337
12019;336.5310059;105.8986435
12020;337.0392151;105.7443085
12021;337.105835;109.495369
12022;337.2354126;112.9615631
12023;337.7438354;114.5769501
12024;338.147644;110.8137436
12025;338.3152161;108.4339371
12026;338.1270752;107.6914063
12027;337.9389343;106.9488831
12028;337.7507935;106.206337
12029;337.5626526;105.4638138
12030;337.3745117;104.721283
12031;337.3330078;104.1874466
12032;337.8294678;104.4193573
12033;338.3259277;104.651268
12034;338.8223877;104.8831711
12035;339.3188477;105.1150818
12036;339.8153076;105.3469925
12037;340.3117676;105.5789032
12038;340.8082275;105.8108063
12039;341.6887207;106.3463821
12040;342.4012756;106.26091
12041;342.4017944;105.965538
12042;342.3222656;105.9363327
12043;342.6662292;105.9231796
12044;344.5600281;105.9687576
13014;333.3711853;112.3924713
13015;333.9222107;111.1337967
13016;334.8285217;109.0179214
13017;335.4946594;108.0634537
13018;336.0340271;107.8300934
13019;336.1084595;111.425827
13020;336.1750793;115.1768875
13021;336.3027649;118.6516266
13022;337.0739136;121.8108978
13023;337.1744385;120.7531128
13024;337.6113586;117.1333694
13025;338.0482788;113.5136337
13026;337.9260254;112.4677963
13027;337.7378845;111.7252579
13028;337.5497742;110.9827271
13029;337.3616333;110.2401962
13030;337.1734924;109.497673
13031;336.9853516;108.755127
13032;336.7972107;108.0126038
13033;336.6090698;107.2700729
13034;336.420929;106.5275269
13035;336.6220703;106.3390732
13036;337.1185303;106.5709763
13037;337.8954163;107.0246429
13038;338.9850769;107.7256622
13039;339.9161377;108.095871
13040;340.1522827;107.016777
13041;340.1148071;106.8476791
13042;340.0352783;106.8184662
13043;339.95578;106.7892838
13044;339.8762512;106.7600784
13045;339.9225159;106.7356415
13046;341.8163452;106.7812195
13047;343.7101746;106.8267899
13048;345.6039734;106.8723679
14019;335.5242004;118.1701508
14020;335.4142761;124.048233
14021;335.8980103;127.6515274
14022;336.5727844;130.5074005
14023;336.6381531;127.0727386
14024;337.0750732;123.4530029
14025;337.5119934;119.8332672
14026;337.7250061;117.2441788
14027;337.5368652;116.5016403
14028;337.3487244;115.7591095
14029;337.1605835;115.0165787
14030;336.9724426;114.2740479
14031;336.7843018;113.531517
14032;336.5961914;112.7889862
14033;336.4080505;112.0464478
14034;336.2199097;111.3039169
14035;335.8578796;110.4036865
14036;335.1917725;108.403923
14037;336.2814636;109.1049271
14038;337.3711243;109.8059464
14039;337.6671448;108.851738
14040;337.9032898;107.7726364
14041;337.8278503;107.7298203
14042;337.7483215;107.7006226
14043;337.6687927;107.6714172
14044;337.5892639;107.6422195
14045;337.1584473;108.4844513
14046;337.2503662;107.7006836
14047;337.1622314;108.001442
14048;338.9055176;107.9326935
14049;340.8954773;107.7832336
14050;342.8602905;107.6848297
14051;344.7541199;107.7304001
14052;346.6479187;107.7759781
15020;335.1404419;131.1399689
15021;335.8748474;135.8789673
15022;335.9024048;138.0409698
15023;336.1018677;133.3923645
15024;336.5387878;129.7726288
15025;336.975708;126.1528931
15026;337.4126282;122.5331573
15027;337.3358459;121.2780304
15028;337.1477051;120.5354919
15029;336.9595642;119.7929611
15030;336.7714233;119.0504303
15031;336.5832825;118.3078995
15032;336.2814331;117.4622421
15033;335.8869934;116.5326233
15034;335.4925232;115.6029816
15035;334.6940918;113.5416565
15036;333.5778198;110.4842072
15037;334.667511;111.1852264
15038;335.1820068;110.6866989
15039;335.4181519;109.6075974
15040;335.6204224;108.6411667
15041;335.5408936;108.6119614
15042;335.4613647;108.5827637
15043;335.3818359;108.5535736
15044;334.5772705;110.3228836
15045;332.0733337;116.2692337
15046;333.7634583;111.3410416
15047;334.5187683;108.8980331
15048;334.2270203;109.2384567
15049;334.3992004;109.4884872
15050;336.0470886;109.4509735
15051;337.7590332;109.3924789
15052;339.7489929;109.2430191
15053;341.7389526;109.0935593
15054;343.7289124;108.9440994
15055;345.7188721;108.7946396
15056;347.691864;108.6795883
16021;335.4688416;143.1923523
16022;335.2392273;143.5352783
16023;335.5655823;139.7119904
16024;336.0025024;136.0922546
16025;336.4394226;132.4725189
16026;336.8763428;128.8527832
16027;337.1348267;126.0544128
16028;336.9466858;125.311882
16029;336.7049866;124.5207901
16030;336.3105469;123.5911636
16031;335.9160767;122.6615295
16032;335.521637;121.7319031
16033;335.1271667;120.8022614
16034;334.4780884;119.159317
16035;333.2654724;115.9377289
16036;332.0528564;112.7161407
16037;332.6968689;112.5216599
16038;332.9330139;111.4425735
16039;333.1691589;110.363472
16040;333.3334656;109.5233078
16041;333.2539368;109.4941025
16042;333.174408;109.4648972
16043;331.9960938;112.1613007
16044;329.1504822;118.9935532
16045;328.5791016;119.9290314
16046;330.2692566;115.0008469
16047;331.9593811;110.0726624
16048;331.7871704;110.0953827
16049;331.4954224;110.4358063
16050;331.2037048;110.7762375
16051;331.9692078;110.8843307
16052;334.5852051;110.5816574
16053;336.2747498;111.2410278
16054;338.2983704;111.0964432
16055;340.321991;110.9518585
16056;342.3456116;110.8072662
16057;344.3692322;110.6626892
16058;349.145813;113.4610138
16059;348.4111023;113.2452698
17021;333.5533447;153.5672302
17022;334.0208435;147.2658081
17023;335.2575989;142.1559296
17024;335.6997986;138.8522034
17025;336.1112366;135.6203918
17026;336.5227051;132.3885803
17027;336.7715454;130.6610565
17028;336.379303;129.9487305
17029;335.9451904;128.7904358
17030;335.5507202;127.8608093
17031;335.1562805;126.9311829
17032;334.7618103;126.0015488
17033;334.262085;124.7769699
17034;333.049469;121.5553818
17035;331.836853;118.3337936
17036;330.5482788;116.2979279
17037;330.447876;113.2775269
17038;330.684021;112.1984329
17039;330.920166;111.119339
17040;331.0465088;110.4054489
17041;330.96698;110.3762512
17042;329.414917;113.999733
17043;326.5693054;120.8319778
17044;323.7236633;127.6642227
17045;325.0848999;123.588829
17046;326.7750549;118.6606369
17047;328.4651794;113.73246
17048;329.3473206;110.9522934
17049;329.1358032;111.2153168
17050;328.9373779;111.4657288
17051;328.7389526;111.7161331
17052;330.7814026;111.5261688
17053;331.8622437;113.5408173
17054;333.8858643;113.3962402
17055;335.9094849;113.2516632
17056;338.0430298;113.1793976
17057;348.1594849;118.3586807
17058;349.5377502;120.1771622
17059;348.8679504;119.9130096
17060;348.2032776;119.176178
17061;346.2653198;120.1829224
17062;345.5951233;120.8952637
18021;333.0823669;153.6456757
18022;332.8178406;149.7672119
18023;333.9910889;144.8273773
18024;335.2320862;139.6551208
18025;335.9901428;135.6125183
18026;336.2584534;133.7049103
18027;336.1489563;135.2921295
18028;335.9381714;136.0553284
18029;335.4595032;134.6403809
