GRID_CODE;JSOW;JHAR
39086;129.7774658;214.0240631
40084;120.6706238;209.9575195
40085;124.8583679;212.7044678
40086;135.1779938;219.8638
40087;139.6906586;221.3631592
40088;136.3416443;217.8166046
41082;118.2651978;212.4521027
41083;118.0566635;212.7733612
41084;119.4001999;213.430603
41085;125.9514465;217.175354
41086;136.8000031;223.6019745
41087;142.8283386;226.8236084
41088;137.280304;222.4342346
41089;132.0469055;217.8279724
42081;117.4853363;216.4730072
42082;116.9689484;216.7347565
42083;116.4662399;216.1824799
42084;118.1019592;217.0794983
42085;123.0290833;219.2695007
42086;133.6707764;225.515213
42087;138.3786621;227.1038361
42088;134.2914276;223.3534241
42089;131.5484772;220.5028839
43079;116.4388733;217.8269501
43080;116.7596283;221.4422607
43081;115.9766083;219.0643921
43082;115.6150665;219.9259338
43083;115.4169235;220.1646271
43084;117.4658432;220.9366608
43085;121.8117371;222.7396851
43086;126.8108215;224.6111603
43087;130.2184143;225.7567596
43088;131.9069214;223.9501495
43088;128.7371979;225.0544739
44078;115.7229385;217.5270996
44079;116.6819992;225.913147
44080;116.3412476;228.8986053
44081;114.6296082;224.1742249
44082;113.9896011;223.5001068
44083;114.1374512;223.9230347
44084;115.9833603;224.7251434
44085;119.5517426;226.4142914
44086;123.513237;227.3117371
44087;124.0242233;226.384613
44088;123.7061234;224.9622345
45076;114.5938034;-9999
45077;122.4938736;217.2705841
45078;130.1807861;209.1775818
45079;113.0481415;229.6664581
45080;116.3687897;239.3326569
45081;117.5391617;230.9278564
45082;114.4230118;227.1755219
45083;112.4977112;227.7966461
45084;114.1235428;228.7800293
45085;117.2611694;230.0645142
45086;119.047493;228.838089
45087;119.8130188;228.6276245
45088;120.0486908;228.2168427
45089;121.3309174;232.0606232
46075;115.8562469;224.6990662
46076;123.6557465;216.8562317
46077;131.8566437;209.197937
46078;136.1623383;206.1881409
46079;118.9676437;237.6595154
46080;115.5347824;242.8447418
46081;118.480629;232.8809662
46082;117.6518478;234.2685852
46083;114.2487335;233.2446289
46084;113.6102905;227.2884674
46085;112.5004272;228.8075714
46086;113.7248688;227.8445129
46087;116.4788589;229.6470642
46088;117.7334671;232.3095093
46089;119.6129303;234.4214783
47073;111.1624222;-9999
47074;117.2394485;225.1162262
47075;123.6790695;218.3209229
47076;132.9339294;208.9515839
47077;131.303299;207.7447968
47078;140.4785767;199.991745
47079;126.9853973;222.3996582
47080;117.9106598;231.7409668
47081;117.6769638;244.5185242
47082;117.9040833;254.6385803
47083;117.5307693;248.7829437
47084;119.120491;220.7568512
47085;118.5809097;203.8823242
47086;115.1437531;211.8917999
47087;113.9796829;225.4516449
47088;115.1700211;235.5100708
47089;114.8771133;238.5098267
48072;109.370079;235.4558563
48073;111.0205536;231.4389191
48074;112.2760696;229.855957
48075;119.4259415;222.5740509
48076;122.9384766;217.8048553
48077;118.9004593;215.6327057
48078;124.688179;210.284668
48079;116.8586578;225.2693481
48080;114.1422195;233.5448914
48081;116.8598175;241.719574
48082;117.7625885;247.7982941
48083;119.0233612;239.7429962
48084;118.8280029;230.8261108
48085;118.1354523;216.4970703
