GRID_CODE;JSOW;JHAR
24024;111.3746872;294.5899963
27067;122.1791306;293.4116516
27068;119.4453735;292.2861938
27069;119.6891098;292.4416199
27084;111.3094482;294.3153687
28032;79.99321747;268.7216797
28033;76.92965698;266.2305603
28034;74.21435547;263.9714966
28035;72.22399139;262.3813477
28036;70.22814178;260.7871094
28037;68.24490356;259.1964417
28038;68.98852539;259.6502075
28064;122.2043686;292.3898926
28065;123.6469879;293.3367004
28066;124.9800415;294.2158203
28067;125.9185867;294.6601868
28068;124.2796478;293.6500854
28069;120.6993332;292.7013245
28080;111.6958313;293.9585876
28081;111.4279022;294.1282959
28082;111.4704895;294.1490479
29030;78.24736023;266.3861084
29031;71.37901306;262.0256042
29032;73.00734711;263.6010132
29033;72.67547607;263.033844
29034;72.01473236;262.211792
29035;69.0761795;259.86203
29036;68;259
29037;68.39285278;259.3165283
29038;69.14331055;259.9211426
29039;70.1270752;260.7275696
29064;122.8110123;292.6621399
29065;123.8586884;293.3053284
29066;125.2919464;294.155426
29067;125.6596222;294.1355896
29068;125.8746414;294
29069;125.9861221;294
29080;111.2416916;293.9475708
29081;111;293.9324036
29082;111;293.804718
29083;111.0091019;293.8712463
29085;111;294.57547
30029;86.22113037;273.4286194
30030;75.11838531;264.0730591
30031;71.53314972;261.9441528
30032;68.15471649;259.9003601
30033;70.18325043;260.9595032
30034;68.7206955;259.5765686
30035;68;259
30036;68.32543182;259.262207
30037;71.27625275;261.3390503
30038;76.5234375;264.9511414
30039;75.01721191;264.1278687
30040;70.84067535;261.0647583
30041;70.69334412;261.4067078
30064;124.0217514;293.3623047
30064;123.8829803;293.2060852
30065;124.8768921;293.9278259
30066;125.1605911;294
30067;125.5677338;294
30068;125.796463;294
30069;124.3777771;293.68396
30069;125.9632111;294
30070;123.0716019;293.4382629
30078;111.7865982;293.8409729
30079;111.5315628;293.8656921
30079;111.0553894;293.9841614
30080;111.0482864;293.8023071
30081;111;293.1994324
30082;111;293.4933167
30083;111;293.8602905
30086;111;294.4383545
30086;111;294.46698
30087;111;294.4242859
30089;111;293.3454895
30090;111.1159668;292.9405212
31029;86.58331299;272.3813782
31030;81.57408142;268.1145935
31031;80.77681732;267.7501831
31032;74.98091888;263.8161011
31033;68.69110107;259.5292664
31034;70.33488464;260.5735168
31035;74.66711426;263.493042
31036;77.84823608;265.7235413
31037;83.09542847;269.3356628
31038;88.34261322;272.9477539
31039;87.29131317;272.4232788
31040;76.96509552;265.2330322
31041;71.20212555;261.8014221
31042;70;261
31057;119.8622665;289.7576599
31058;121.2539063;290.9761963
31069;125.9556427;293.9226685
31069;125.2135925;293.8728943
31070;124.6687775;293.8328552
31071;123.2534332;293.6231689
31077;113.2873993;293.7709045
31078;112.678833;293.7599792
31079;111.0032578;293.9778442
31080;111.0033264;293.6861877
31081;111;293.2883606
31082;111;293.6202393
31083;111;294.1478577
31083;111;294.2011414
31083;111;293.8443604
31083;111;294.0068665
31084;111;294.2416077
31087;111;294.1900024
31087;111;294.3724976
31090;111.0102768;293.1821899
31090;111.1127319;292.479248
31091;111.7260437;290.7137451
32028;104.5565414;284.6953125
32029;102.13871;282.5175781
32030;95.32756042;276.5708008
32031;93.43826294;275.4265442
32032;87.14844513;271.13974
32033;81.05337524;267.8556824
32034;87.13819122;271.9013367
32035;91.59308624;274.8996887
32036;94.16365051;276.7174377
32037;96.48967743;278.3822327
32038;100.1617889;280.9443665
32039;99.69103241;280.6246948
32040;88.54586792;273.3639221
32041;72.00113678;262.3340759
32042;70;261
32044;70.15554047;261.3795776
32045;70.41326141;261.8790894
32047;74.04668427;263.9111328
32056;117.8331909;288.3417053
32056;117.3259506;287.9463196
32057;120.5430527;289.8526306
32058;123.2171631;292.115509
32070;125.5055008;293.8594971
32071;124.4037399;293.8757935
32072;123.6392365;293.9225464
32078;110.2750168;292.4259033
32078;111.9866333;293.2651672
32078;110.5072327;293.1676331
32078;109.6066666;292.2827759
32079;110.7569122;293.5643005
32080;111;293.9409485
32080;111;293.7966614
32081;111;293.7112732
32081;111;293.495636
32082;111;293.9768982
32083;111;294.1038513
32084;111;294.1658936
32084;111;294.1738586
32085;111;294.2239685
32085;111;294.2690125
32087;111;294.1684265
32088;111;294.0317383
32089;111;293.9651794
32089;111;292.6525574
32090;111.0441284;291.3744812
32091;111.5652466;289.9099121
33028;114.4794769;292.4726868
33029;117.2739487;292.7059631
33030;109.1837616;285.1223755
33031;105.6057816;282.7501831
33032;95.4699173;277.175293
33033;96.40589142;278.2513428
33034;102.4906998;282.2969666
33035;108.5190582;286.3063354
33036;111.2291336;288.2113342
33037;112.9196167;289.2275085
33038;112.0097504;287.5898438
33039;107.0191498;284.1611023
33040;92.21938324;275.8129272
33041;76.10359192;265.0690613
33042;70;261
33046;71.98999023;263.2965088
33047;72.15526581;262.7255859
33048;73.54248047;263.6051941
33056;118.1465225;288.5960083
33057;120.6452637;290.3524475
33058;122.1701965;291.7187805
33059;123.09272;292.5813599
33069;125.2790833;293.4688721
33070;125.4758835;293.6015625
33071;124.5766068;293.7969666
33072;123.8448486;293.9179382
33077;108.4532394;291.1795959
33078;109.8778381;292.4956665
33078;110.2422028;292.8323364
33079;111;293.6104736
33080;111;293.8634644
33081;111;293.9418335
33082;111;293.9518738
33082;111;293.9850159
33082;111;293.9931946
33083;111;294.0197449
33084;111;294.0675049
33087;111;292.7462769
33088;111;291.229187
33089;111;289.4389954
33090;111;288.8112793
33091;111.5517731;288.5454712
34027;115.9372177;292.8614502
34028;117.505867;293.2147217
34029;120.3143463;293
34030;121.0690536;293
34031;113.7632599;288.7308044
34032;105.6735916;284.6013489
34033;111.7584076;288.6469727
34034;115.4107132;290.8513184
34035;114.8573685;289.8721924
34036;112.6679001;285.0174561
34037;110.8897934;281.2331848
34038;109.9799271;279.59552
34039;104.0665588;275.7617493
34040;88.37503815;267.636261
34041;75.05513;263.2632751
34042;72.56647491;262.3164978
34047;74.71670532;264.43573
34048;73.83258057;263.7408142
34049;75.69634247;265.0574951
34056;119.1833115;289.8335876
34057;120.84095;291.2886963
34058;122.1131592;292.3392334
34068;122.3484573;293.511322
34069;125.1144333;293.1977539
34070;125.5740128;293.2727051
34071;125.0701675;293.5617676
34073;116.2580338;292.0052795
34074;115.2247391;291.7765503
34076;108.2921982;290.1828613
34076;109.3498688;290.4122314
34077;109.0376968;291.2424316
34077;109.383873;290.8813477
34078;111;293.1710205
34079;111;293.2006836
34080;111;293.3774109
34081;111;293.5765381
34082;111;293.8539734
34082;111;293.5403137
34082;111;293.9042969
34084;111;294.0009766
34085;111;294.0061035
34087;111;291.4629822
34088;111;289.8952026
34088;111;289.9127808
34088;111;288.2672424
34088;111;289.6227417
34089;111.0873795;287.0501099
34090;111.4531631;286.0925598
34091;111.7943497;286.7683105
34092;112.4408493;286.8782654
35027;121.7359238;293.8226013
35028;126.9581375;293.4794312
35029;131.9640656;293.1297607
35030;128.662674;293
35031;120.1977005;293
35032;117.532547;292.3525391
35033;116.9792099;291.3734131
35034;116.4258728;290.3943176
35035;115.8725433;289.4151917
35036;113.769722;284.7657166
35037;111.0646973;278.6897583
35038;108.3596802;272.6138
35039;101.5308609;268.0237427
35040;91.24564362;268.4745178
35041;82.74612427;267.6624451
35042;81.88114166;268.3007813
35043;87.4644165;272.8947144
35056;119.0119095;291.0628967
35057;120.3528137;291.8973083
35058;121.9960098;293.0381165
35059;122.5203171;293.5592957
35067;117.4162369;293.92276
35067;119.5201569;293.6714783
35068;121.7190628;293.4925537
35069;125.3706131;293.0973511
35070;125.8224716;293.4727783
35071;125.9229279;293.8869629
35072;121.3205795;292.9441833
35073;116.9401169;292.0702209
35074;114.9323196;291.6527405
35075;108.4979782;289.9505615
35076;106.9515228;289.2963867
35077;108.8187332;290.6758118
35078;111;293
35079;111;293
35080;111;293
35081;111;293.1125793
35086;111;291.4891052
35087;111;290.6228638
35088;111;288.5096741
35088;111.0323563;285.8301086
35088;111;289.3571167
35088;111;286.6807861
35089;111.3979721;284.7558289
35090;111.9588394;283.540741
35091;112.2987518;284.3737183
35092;112.6386719;285.2066956
36027;125.6046295;293.8935852
36028;134.2081604;293.6003113
36029;141.5307312;293.169342
36030;140.0737305;292.2498169
36031;126.4058304;292.3700256
36032;117.3510284;292.6236267
36033;116.9705429;291.8092651
36034;116.480217;290.7752075
36035;116;289.6422119
36036;115.7021027;286.4684753
36037;113.3220825;280.456543
36038;111.4871979;275.3708191
36039;110.1323929;272.4382629
36040;99.01449585;273.276123
36041;98.80394745;276.3819275
36042;98.9683609;278.2959595
36043;100.6167831;280.5935364
36044;104.2905807;282.6638184
36056;118.138031;291.0161743
36057;120.4131775;292.5046997
36058;121.9317169;293.633667
36059;122.58564;293.905365
36066;114.5453186;293.8862305
36067;118.6265488;293.6215515
36068;122.6551285;293.594696
36069;125.4592438;293.2082825
36070;125.7400665;293.6231995
36071;125.7023926;293.7450256
36072;123.0630493;292.9190979
36073;118.2172775;292.235199
36075;108.0420532;289.8983765
36076;106.2798386;289.134552
36077;117.5250168;289.0746155
36078;112.8698273;292.4657593
36079;111;293
36080;111;293
36081;111;293.1303711
36081;111;293.0210876
36082;111;293.2776184
36082;111;293.3774109
36083;111;293.4346313
36083;111;293.4619751
36085;111;293.9783325
36087;111;287.1783447
36087;111;288.9080505
36088;111;283.2316589
36089;111.3285065;281.5575256
36090;111.5701981;279.5241089
36091;111.9592972;280.4464111
36092;112.4090195;281.5224609
37027;136.5226898;294
37028;144.4733276;293.9034424
37029;148.6127625;292.582489
37030;142.4319;291.4597473
37031;132.2784882;291.8015137
37032;122.3234711;292.1557922
37033;116.5652924;292.0407104
37034;116.2311096;291.3190002
37035;116;288.1615906
37036;116;284.3842468
37037;116;284.2472839
37038;116;280.9485474
37039;116;277.5597534
37040;116;281.5149536
37041;113.4693832;283.8118896
37042;110.0678329;285.4225464
37043;109.953743;286.639679
37044;116.169632;290.8136597
37045;116.3398972;290.0747375
37046;115.1598587;288.8910828
37057;119.1233063;293.7389221
37058;119.5086594;293.9692383
37063;109.8882217;293.8251953
37064;109.4078064;293.694397
37065;110.0902863;293.3735657
37066;111.3865585;293.440155
37067;113.6761017;293.1968689
37068;121.3677979;293.7606812
37069;123.9919434;293.7238464
37070;124.4851532;293.8301392
37071;124.754509;293.7303772
37075;115.1528473;289.7353821
37076;108.153038;289.1521301
37077;117.6794128;289.3702087
37078;117.4872513;291.1464844
37079;113.7379837;292.2177124
37080;112.5812836;292.4468689
37081;111.1974487;292.8972473
37082;111;293.2063293
37083;111;293.4747314
37085;111;293.161499
37085;111;292.3295898
37086;111;288.2464294
37087;111;284.9632263
37087;111;284.3916321
37088;111;280.3982849
37089;111;276.6703186
37090;111.0484085;275.3138428
37091;111.5093613;276.4183655
37092;111.9761276;277.9230042
37093;113.3645782;282.454895
38027;128.0788116;294
38028;143.8093872;294
38029;147.1939545;292.2782593
38030;145.8272552;291.1657715
38031;136.6805267;291.4182434
38032;127.533783;291.6707153
38033;118.2411118;291.9415894
38034;116;291.6349487
38035;116;291.7108154
38036;116;291.8699646
38037;116;289.7128601
38038;116;286.7700806
38039;116;284.6196289
38040;116;288.4145508
38041;114.9031296;290.1247559
38042;115.1891327;291.2940063
38043;117.9267273;292.1697693
38044;119.7036667;292.2001038
38045;119.5227509;290.2710266
38046;118.0626984;289.1991272
38047;115.5875931;288.8051453
38048;113.4551468;288.8304138
38057;117.790451;293.9906006
38058;117.122261;293.9884338
38062;110.0075226;293.3989868
38063;109.1816177;293.7729492
38064;108.5266876;293.136261
38065;108.0006485;293.249115
38066;108.8915176;293.2471008
38067;112.0102921;293.3955688
38068;119.9126968;293.8074951
38069;122.2965775;293.2417297
38075;117.42836;289.3423462
38076;117.3560715;289.1410828
38077;119.1445084;289.5880127
38078;117.5549469;291.1744385
38079;117.1770935;290.4046936
38080;115.1970825;290.606781
38081;111.8433914;290.4373779
38082;111.0058823;293.0762634
38083;111.2063828;289.5215149
38084;111.4444733;284.9826355
38084;111.2681885;288.6567078
38086;111;282.7876587
38087;111;281.1958923
38087;111;281.3508911
38087;111.0980606;279.4055481
38088;111;274.9252319
38088;111;276.8660583
38089;111;271.2345886
38090;111;270.3353271
38091;111.0706635;272.4188232
38092;111.557457;275.303009
38093;112.9541397;279.861084
39028;143.4586639;293.7801819
39029;146.3090668;292.7202759
39030;146.2742004;291.6494141
39031;136.5530396;291.6054382
39032;127.4063034;291.8579407
39033;117.3045197;292.5801392
39034;116;292.1862488
39035;116;292
39036;116;292
39037;116;291.6321106
39038;116;291.2141724
39039;116.1470108;291.4816589
39040;116.5922318;292.5726929
39041;116.2958221;293
39042;116.3342133;293
39043;119.3575897;293
39044;123.4905167;292.8528442
39045;123.4710464;290.6264038
39046;122.8777237;289.0331726
39047;119.5011063;290.1304626
39048;117.2575226;291.066803
39057;115.0869064;293.9779053
39058;113.9022903;294
39061;109.3187714;293.5254211
39062;108.9280624;293.1394653
39063;108.1765289;292.5370178
39064;108.2159576;291.0395508
39065;108;292.1470337
39066;108.2236633;293.7662048
39067;112.2164612;293.8504639
39074;108.7180634;289.7997437
39075;114.0237198;289.0684509
39076;125.4161835;288.3389587
39077;126.5230408;287.7035828
39078;121.909317;287.8595581
39079;118.3465576;287.7316284
39080;115.8134537;287.5475464
39081;112.4210968;287.7085266
39082;111.5295029;286.9220581
39083;111.5302505;283.5654602
39084;111.6215515;280.7442017
39085;111.4238129;280.9086304
39086;111.4376831;278.1928711
39087;111.5637207;272.3735046
39088;111.0486069;267.1145935
39089;111;265.8616028
39091;111;269.7705383
39092;111.1387863;272.6830444
39093;112.5436935;277.2672424
40028;129.9294739;293.796051
40029;134.5684967;292.9104004
40030;142.3336945;292.2240601
40031;136.7441254;291.9570313
40032;126.8884583;292.2371216
40033;117.9832611;292.6416016
40034;116;292.2573547
40035;116;292
40036;116;292
40037;116;291.8121643
40038;116.7437134;291.8697815
40039;118.0615387;292.5218506
40040;117.6741333;293
40041;116.9655228;293
40042;119.1487427;293
40043;121.8690567;293
40044;125.8900223;293
40045;127.1771698;291.4278564
40046;126.1404724;290.5072327
40047;123.7506638;291.8945923
40048;121.5772705;292.8602295
40057;112.8882828;293.9805298
40058;111.33815;294
40060;108.2420197;294
40060;107.7772369;294
40061;108;293.8838806
40062;108;293.4517212
40063;108;292.7347717
40064;107.9808426;291.2120667
40065;107.9829712;292.2980042
40066;107.9813232;293.44104
40072;106.5246811;288.4929504
40073;106.893219;289.3338928
40074;109.3942184;288.3690186
40075;111.6863632;287.7915955
40076;126.9228821;287.2379761
40077;126.0998764;284.9562683
40078;121.8796234;283.4323425
40079;117.6894531;282.4613342
40080;113.6784515;281.8337097
40081;112.7561035;252.4234619
40082;112.3249969;257.1881409
40083;112.0955963;269.6542053
40084;111.9640274;275.0326233
40085;111.806221;272.9076538
40086;111.9848633;266.8766174
40087;112.2086334;261.9755859
40088;111.6592026;259.6985474
40089;111.6649933;262.4053955
40090;111.3563995;265.6185303
40091;111.156311;268.4923401
40091;111.095932;267.3641357
40091;111;270.196106
40092;111.0411072;270.7963867
40093;112.1332474;274.6734314
41028;116.884613;293.9565735
41029;121.0195999;293.2941895
41030;128.1379547;292.967041
41031;124.3444138;292.6382141
41032;124.1655807;292.3486328
41033;120.1730499;292.1285095
41034;116;292
41035;116.2905273;292.4551086
41036;116.3441467;292.5391235
41037;117.964798;292.3970337
41038;123.1260529;293.08078
41039;123.4216614;293.3839417
41040;118.5215912;293.0315857
41041;120.5222473;293
41042;123.9051285;293
41043;126.9884415;293
41044;129.3070374;293
41045;130.3135071;292.9607239
41046;128.473938;293.0707397
41047;126.3422012;293.6700745
41048;124.5617828;293.3314819
41049;123.3086319;293.1076965
41051;117.576561;292.2607117
41051;117.9941635;292.3318481
41051;115.5957031;291.9160767
41052;111.4285812;291.0462341
41053;107.01091;290.0015259
41053;108.4704971;291.3522644
41054;106.5162811;292.6239929
41060;107.5887833;293.8494873
41061;108;293.5052185
41062;108;293.2160645
41063;108;293
41064;107.9516602;292.9759216
41065;107.9026413;292.4994507
41069;109.1034393;286.6359253
41070;108.1319504;286.7157288
41070;106.6211624;286.4159241
41071;107.0293732;287.0940857
41072;107.2346878;287.4584045
41073;107.504509;286.3852234
41074;110.2243805;286.2611084
41075;118.0564804;285.2639465
41076;127.6163788;284.6163635
41077;123.5885468;280.6939087
41078;119.0854263;278.5366516
41079;114.8923264;277.0736389
41080;113.3763885;275.7383728
41081;113.2868195;235.3677063
41082;114.0626984;237.5388794
41083;113.8153534;260.2712402
41084;112.7630234;261.7916565
41085;112.4558563;258.9695435
41086;112.7798233;257.857666
41087;113.1751938;258.5244141
41088;112.8020477;259.6424255
41089;112.2993469;261.6873169
41090;111.661293;265.0688477
41091;111.2120667;266.9623108
41091;111.3439178;268.2728271
41092;112.0445709;270.7267761
41093;113.01017;273.6257324
41094;114.6491623;277.4028931
42029;121.4527283;293.8417358
42030;116;293.6013489
42031;116;293.3299866
42032;116;293.012085
42033;116.1377182;292.7001648
42034;116.2848434;292.4644775
42035;116.7174225;293.1238403
42036;116.8741074;293.3692932
42037;118.5469131;293.6172485
42038;127.9197235;293.9000854
42039;132.8256683;294
42040;129.3755951;293.9746094
42041;126.350853;293.4007263
42042;126.6958923;293.0122986
42043;129.656723;293.2305908
42044;130.821991;293.5445251
42045;131;293.0545959
42046;129.8853455;293.5461426
42047;128.5719299;293.4692688
42048;126.1295929;292.7778015
42049;123.8188019;292.0700684
42050;121.6303635;292.8280029
42051;119.0307236;292.411377
42052;115.1917419;292.2573547
42053;112.1897964;292.4413147
42054;108.8142471;293.5593872
42055;106.4798584;293.5626831
42056;106.2773285;293.8137817
42059;106.9936295;288.9015503
42060;107.2469101;293.1647949
42061;107.9935684;293.0956726
42062;108;293
42063;108;293
42064;107.9946823;292.9790955
42065;107.9183273;292.9772949
42068;106.1380692;287.4564209
42069;106;286.4190979
42070;106.855217;286.1257629
42070;106.202652;285.2732849
42071;107.2081375;285.7569885
42072;108.2567062;284.2690735
42073;109.0604095;282.7483521
42074;110.8700409;281.5826111
42075;114.0240173;281.2622681
42076;120.8049088;280.4291992
42077;120.3756638;277.984375
42078;116.7457428;274.9071655
42079;114.8190765;272.2339172
42080;114.7176971;270.4111328
42081;114.070961;268.6812439
42082;113.9689484;259.9157104
42083;113.4662399;250.6851807
42084;113.2019272;256.0533752
42085;113.885849;257.5167236
42086;114.3454895;257.37323
42087;114.8539581;257.3892822
42088;114.0452194;258.6737061
42089;113.4447327;260.2303467
43030;116;293.5012512
43031;116;293.102356
43032;116.3132019;293.0299377
43033;116.6551285;293.60849
43034;116.6769028;293.3200989
43035;117.0977097;293.8048401
43036;117.3675232;294.1210327
43037;118.9311676;294.5898132
43038;129.1108246;294.2060242
43039;132.1468048;294.0166321
43040;131.3564453;294.3408203
43041;128.9631653;293.8125305
43042;127.0055618;293.2079773
43043;128.1092529;293.4035034
43044;129.9094543;293.6456604
43045;130.1591797;293
43046;130.879303;293.5828857
43047;130.2613525;293.3085632
43048;128.3666992;292.0768433
43049;125.400589;289.7004089
43050;123.4642334;292.1888733
43051;121.520813;292.9677734
43052;118.9435272;293
43053;114.9185715;292.8706055
43054;110.47052;292.9021606
43055;107.5961609;291.09375
43056;106;291.0550842
43057;106.0968323;293.0798645
43057;106;292.627594
43058;106.4258423;291.2391357
43059;106.913147;288.5469971
43060;107.7728806;274.3968811
43061;108;290.7933655
43062;108;292.741333
43063;108;292.8191223
43064;107.9924393;292.9845276
43067;106.2870331;287.9580688
43067;106.0643463;287.2148438
43068;105.9319763;286.9511414
43069;105.9135208;286.1159973
43070;105.956459;285.2023621
43071;106.4456863;284.1687317
43072;108.1997604;273.0935364
43073;109.7938538;280.9466553
43074;112.2049866;279.4598083
43075;114;278.5984192
43076;115.7835464;277.8509827
43077;117.4602966;275.4138489
43078;116.0770264;271.9163818
43079;115.6737137;268.6551514
43080;115.2640991;265.4924316
43081;115.0233917;261.1934509
43082;115.3849335;263.247406
43083;115.16539;259.7659912
43084;113.6700668;256.8419189
43085;114.5073471;258.7428284
43086;115.2872086;257
43087;115.9794769;257.112915
43088;115.9888077;257.404541
43088;115.4687729;257.6827087
44030;116.0471191;-9999
44031;116.2288971;293.4079285
44032;116.5806274;293.0996399
44033;116.8678436;293.688385
44034;117;294
44035;117.1577682;294.1159363
44041;128.8221893;293.8826599
44042;127.4755936;293.3775635
44043;126.1752319;293
44044;127.4490891;293
44045;129.5328522;293
44046;130.4720001;293.4439087
44047;130.9122467;293.2522888
44048;128.971756;292.2289124
44049;126.0777206;290.2519226
44050;125.4245529;291.7356873
44051;124.0797729;292.947876
44052;121.3165131;292.5588379
44053;116.9373169;292.1792908
44054;112.1742172;291.5599976
44055;108.2643585;290.242157
44056;106;291.2745667
44057;106;293.5159607
44058;106.5795593;292.5728455
44059;107.17939;287.7797852
44060;107.2134781;288.1921997
44061;107.7789536;292.891571
44062;107.9916611;292.5606384
44063;107.3407364;292.2637329
44063;107.8447266;292.1790771
44066;106.6055222;289.3499451
44067;106.1150513;286.6647644
44067;106.0496979;287.1954346
44068;105.550499;286.028595
44069;105.4618225;285.2076111
44070;105.4684982;283.6383057
44071;105.9471512;282.0158081
44072;107.6337128;280.5987244
44073;109.358223;279.6970215
44074;111.6311798;278.2782593
44075;113.5456085;277.5057373
44076;115.4331818;277.2834167
44077;116.73983;275.5203552
44078;116.718338;272.1875916
44079;116.1207962;265.9868469
44080;115.8378296;261.9307861
44081;118.0225372;261.8324585
44082;119.4585114;263.5830994
44083;116.9904022;264.7986145
44084;114.5601273;263.3976746
44085;115.0087585;259.2929382
44086;115.6539001;257.1750183
44087;116.0311203;257.2822266
44088;116.2784882;257.4289246
45031;116.4598007;-9999
45041;128.4095917;294.006134
45041;127.978447;294.0316467
45042;127.2687607;293.3211975
45043;126.4477081;293
45044;126.0300064;293
45045;128.3411865;293
45046;129.0202637;293
45047;128.2513428;293.0131531
45048;127.5767975;292.5564575
45049;126.6720428;292.0541382
45050;125.6219864;292.2850647
45051;125.4981232;292.4212036
45052;123.5952072;292.195343
45053;119.9895325;292
45054;113.8814697;292
45055;107.711731;292
45056;106;292.2273865
45057;106;292.8109741
45058;106.5749664;292.4138794
45059;107.3766174;292
45060;106.3639526;292.1991882
45061;107.0529099;292.5264587
45062;107.3064423;292.9562073
45063;107.0210495;292.5058899
45065;106.5947876;291.0964966
45066;106.3443298;288.7778015
45066;106.0110474;288.79599
45067;105.9419403;285.4442139
45068;105.2674866;285.2413635
45069;104.9689407;283.6783142
45070;104.9989471;281.8540955
45071;105.4648895;280.5237427
45072;106.8641815;279.5917969
45073;108.9724197;278.5431824
45074;110.3696136;277.931488
45075;112.1949615;277.3972778
45076;114.5116425;277.2064209
45077;117.4909286;275.4038391
45078;118.4445724;273.0750732
45079;117.0244293;268.9888611
45080;117.8078308;265.9663696
45081;120.8189621;266.8761597
45082;122.1452866;269.680542
45083;117.6329498;270.7193909
45084;115.6950073;265.1248474
45085;116;259.9716797
45086;116.5102234;260.900177
45087;116.6525116;259.8913574
45088;116.9906235;258.9593201
45089;116.0291519;258.0319824
46041;127.6692963;294.0272827
46042;126.9118118;293.4881287
46043;126.3416138;293.0617371
46044;126;293
46045;126;293
46046;126;293
46047;126.4319763;293
46048;126.816658;292.9115601
46049;126;292.4485168
46050;125.9870529;292.5220337
46051;125.9997864;292.401947
46052;126;292
46053;122.8193512;292
46054;116.5192566;292
46055;108.3656616;270.4916992
46056;106.2278366;290.7770386
46057;106;292.1011353
46058;106;291.8701477
46059;106;292
46060;106;291.8728027
46061;106;290.8634033
46062;106;291.9412537
46063;106;292.5595093
46063;106.1309967;292.9355164
46064;106;292.3368225
46065;106.0756531;291.9358826
46066;107.841713;290.3485413
46067;106.423233;287.8112793
