GRID_CODE;JSOW;JHAR
20057;32;164
20058;33.22556305;164.7392273
21056;33.38248825;165.3824921
21057;32;164
21058;33.56343079;164.9436798
21059;35.0942955;165.8677063
21060;37.68983078;168.9095612
22057;33.59865189;165.5986481
22058;32.3421669;164.2065277
22059;34.62017059;166.2050018
22060;38.78705978;170.7929993
23057;35.27650452;167.2765045
23058;33.31721878;165.317215
23059;33.77346039;166.0186768
23060;38.69435883;171.6199646
23061;42.60904694;175.9991913
24024;68.68475342;180.8130188
24057;36.90955353;168.8792267
24058;33.9007988;165.9008026
24059;32.39255905;164.3925629
24060;34.55095291;166.8349457
24061;37.69686127;170.2166748
25057;38.78289032;170.2294617
25058;34.66572571;166.5918427
25059;34.59705353;166.5970459
25060;35.17291641;167.1729126
26057;40.79222107;171.6372986
26058;33.96675491;166.6008911
26059;33.44964981;165.4824219
26060;35.12785339;167.1278534
26061;41.69118881;173.7296143
26084;66.08609009;167.8926086
26085;65.10458374;164.9743652
27057;40.00809097;171.0069733
27058;37.40830994;169.758728
27059;35.00716782;167.2325592
27060;40.81639099;172.8795166
27060;34.53039932;166.5325928
27060;42.27539825;174.3225403
27061;47.08233261;179.1782227
27067;100.7947998;240.5947113
27068;99.20000458;243.638916
27069;100.3522568;246.9571838
27084;69.73778534;185.280899
28032;114.414711;234.3599091
28033;114.6231232;234.359848
28034;114.6025238;234.1416626
28035;114.0958633;233.5497589
28036;114.3436813;233.6448364
28037;115.8179474;234.8510437
28038;114.9855423;234.1648712
28058;41.17014313;172.9076843
28059;39.26063538;171.2100067
28059;41.22748566;173.3035431
28060;42.84669876;174.913269
28064;88.43548584;222.5438232
28065;94.88872528;229.3556671
28066;100.6326065;235.4210663
28067;104.6796265;239.6796265
28068;104.2150269;242.0261383
28069;101.189682;246.2342682
28080;69.28033447;306.7126465
28081;68.01726532;293.1633606
28082;68.21803284;285.9777832
29030;116;235.7150421
29031;115.7701797;234.9072266
29032;115.2720184;234.6876831
29033;115.213501;234.5954742
29034;115.3246536;234.6526337
29035;115.4137878;234.5390015
29036;116;235
29037;115.7999573;234.8361816
29038;115.4178238;234.5232391
29039;115.248703;234.3847351
29064;92.89903259;227.2024384
29065;98.05607605;232.6560822
29066;104.8424072;239.8061218
29067;105.7287979;240.7287903
29068;106;241
29069;106;241
29080;67.13941193;338.666748
29081;66;333.3716431
29082;66;310.6465149
29083;66.04292297;293.7441101
29085;66;239.8394012
29091;71.4617691;181.6935425
29092;71.03430176;182.0138397
30029;116;237.0323181
30030;116;235.6669159
30031;116;235.0806427
30032;115.9739838;234.986618
30033;115.6327362;234.8110962
30034;115.8787689;234.9376373
30035;116;235
30036;115.8342819;234.8642883
30037;115.5674286;234.645752
30038;115.4257278;234.5297241
30039;115.5436401;234.6262817
30040;114.6549225;233.8230591
30041;114.8906631;234.0293274
30064;100.3551178;235.0362854
30064;99.59197235;234.1950073
30065;105.2239227;240.1838074
30066;106;241
30067;106;241
30068;106;241
30069;106;241
30069;103.9987793;244.4333191
30070;102.3303833;247.3952026
30078;69.24320221;336.4717712
30079;66.26112366;344.9896851
30079;68.38152313;338.8189697
30080;66.22766876;344.904541
30081;66;345.7949219
30082;66;325.5271912
30083;66;306.0020142
30086;66;241.2124786
30086;66;243.9585419
30087;66;238.2140808
30089;66;220.9969788
30090;69.13700104;221.5484772
30090;71.99308777;201.7794647
30091;77.54620361;197.5371552
30091;74.10891724;202.3193207
30092;75.77475739;188.1443329
30092;77.73981476;198.5638885
30093;72.87982941;189.0697174
30094;68.65342712;185.2914886
30095;65.58028412;183.2432404
30096;62.37857819;181.1680603
30100;28.43641663;150.4259186
30101;26.14035606;148.8636627
31029;116;237.0738525
31030;116;236.0520935
31031;116;235.5196228
31032;116;235.2506409
31033;116;235.0076904
31034;116;235
31035;116;235
31036;115.963623;234.9701996
31037;115.821907;234.8541565
31038;115.6802063;234.7381287
31039;115.7806396;234.8203583
31040;116;235
31041;116;235
31042;116;235
31057;93.94197083;226.8124084
31058;93.18933868;227.6236877
31069;104.8602295;243.2515564
31069;105.8891068;241.3656769
31070;103.7584534;245.891983
31071;101.583107;250.3735504
31077;70.74316406;320.4955139
31078;69.01591492;324.3312073
31079;66.01535034;345.9261475
31080;66.01569366;345.9244995
31081;66;345.571106
31082;66;332.0779114
31083;66;307.5964355
31083;66;312.1591492
31083;66;307.7052002
31083;66;323.5126648
31084;66.04933167;300.2704468
31087;67.28891754;251.7308807
31087;66;244.0463257
31090;82.26125336;231.224472
31090;76.96216583;237.5452728
31091;86.82660675;219.3568573
31091;78.75498199;206.106308
31092;86.61740112;205.7328186
31093;82.48357391;200.0572357
31094;77.34662628;194.7910156
31095;72.15414429;190.2808533
31096;68.96414948;187.4168091
31099;58.35866547;177.8098602
31100;59.23411942;178.4452057
31102;32.34441376;151.5343628
31103;35.40163422;-9999
32028;116;238.9772491
32029;116;237.9891052
32030;116;236.7544861
32031;116;236.2795868
32032;116;236.0366364
32033;116;235
32034;116;235
32035;116;235
32036;116;235
32037;116;235
32038;115.9347076;234.9465332
32039;116;235
32040;116;235
32041;116;235
32042;116;235
32044;116;235
32045;116;235
32047;111.9934311;231.6490479
32056;100.3975372;231.6616516
32056;102.1949463;233.2958984
32057;100.6672516;233.2507324
32058;100.7232437;235.3465424
32070;104.6416397;243.7163239
32071;101.6340179;249.5375671
32072;99.51824951;253.3906708
32078;60.96120453;325.5325012
32078;63.89268494;308.8552551
32078;51.41348267;287.3631897
32078;53.80450058;286.4719849
32079;63.76362991;337.3820496
32080;66;346
32080;66;345.9564209
32081;66;346
32081;66;345.7342834
32082;66;340.3049927
32083;66;324.7731934
32084;66.36377716;312.5285645
32084;66.10002136;313.9742126
32085;66.8729248;289.7647095
32085;66.65470886;303.4645996
32087;67.5194931;253.8488159
32088;68.62406921;250.5753021
32089;79.46807098;237.4345245
32089;69.18229675;246.257431
32090;89.42380524;229.4346008
32091;96.97669983;218.3800659
32092;95.99298096;215.8665619
32093;91.98165894;211.0203247
32094;87.70170593;205.641983
32095;83.4217453;201.3261871
32096;81.6374588;199.2830353
32097;78.34129333;196.0534821
32098;72.63977051;190.7294617
32099;72.6894455;190.5398407
32100;74.90102386;192.2538757
32101;80.9262085;197.3514099
32102;86.77022552;202.3270569
33028;116;240.7545319
33029;116;239.5622864
33030;116;237.4688721
33031;116;237.0655823
33032;116;235.5561676
33033;116;235
33034;116;235
33035;116;235
33036;116;235
33037;116;235
33038;116;235
33039;116;235
33040;116;235
33041;116;235
33042;116;235
33046;116;235
33047;114.9319611;234.1446381
33048;113.9223022;233.3974762
33056;102.8963928;234.0043335
33057;104.6816635;236.401886
33058;103.3671417;236.6362305
33059;102.6331863;236.8628082
33069;105.8737335;241.8593903
33070;104.9613724;244.098877
33071;102.1889038;249.0901794
33072;99.97682953;251.7168884
33077;40.94332886;249.0963745
33078;58.06522369;313.6324158
33078;55.67606735;307.0819702
33079;66;345.2211304
33080;66;345.7381592
33081;66;345.6836243
33082;66;344.9763489
33082;66;344.4951782
33082;66;345.3958435
33083;66;340.5238342
33084;66;331.7827148
33087;74.13594818;277.9219666
33088;82.38147736;250.4347382
33089;96.63246918;226.9131012
33090;105.2707977;220.5747681
33091;106;218.918335
33092;105.1397629;216.9191742
33093;102.1087265;217.9878235
33094;98.79521179;217.039444
33095;95.48168945;212.1235809
33096;91.52055359;207.9583282
33097;86.77972412;203.4816742
33098;81.75173187;198.7510376
33099;81.27483368;200.8448029
33100;86.07846832;204.8891754
33101;91.78266144;208.9335327
33102;96.68222809;209.8142853
33105;49.62958908;-9999
34027;116;240.8025513
34028;116;240.887085
34029;116;240.0409393
34030;116;238.4129944
34031;116;236.5311127
34032;116;235
34033;116;235
34034;116;235
34035;116;235
34036;116;235
34037;116;235
34038;116;235
34039;116;235
34040;116;235
34041;116;235
34042;116;235
34047;116;235
34048;115.2462463;234.4642944
34049;113.4109573;233.4613953
34056;105.8365326;237.596817
34057;105.5063934;238.1310425
34058;104.5164032;238.1956024
34068;106;241.488678
34069;105.9531937;241.9239502
34070;104.9350433;244.4962158
34071;103.6363831;247.263031
34073;63.32676315;201.9223938
34074;58.72699356;197.4190063
34076;34.11555481;209.8470306
34076;38.20928955;210.3036041
34077;44.50220108;257.006958
34077;41.35362244;229.3323975
34078;66;344.342041
34079;66;344.4013367
34080;66;344.7547913
34081;66;344.9253845
34082;66;344.3598633
34082;66;344.9282837
34082;66;345.1674194
34084;66.03115082;342.907135
34085;66.19718933;337.0677795
34087;80.48995972;275.1463623
34088;95.87432861;233.8484192
34088;89.22016907;239.9751587
34088;88.81602478;250.3660583
34088;90.72276306;234.3470612
34089;104.7156906;221.6972809
34090;105.9027786;220.094223
34091;106;220
34092;106;218.7334137
34093;106;219.0404358
34094;106;220.1090851
34095;106;220.9149475
34096;102.9597321;218.0193329
34097;97.93173218;213.2886963
34098;92.90373993;208.5580597
34099;92.37593842;210.5755005
34100;93.19985962;213.9286804
34101;98.49517822;214.4430389
34102;104.3822403;215.0381012
34103;104.7955933;216.4453735
34104;101.4633636;215.569519
34105;81.78848267;192.9991913
34106;66.09506989;173.135498
35027;115.951088;240.9095917
35028;115.9802628;240.5145569
35029;116;240.1394958
35030;116;238.4121552
35031;116;235.8025513
35032;116;235
35033;116;235
35034;116;235
35035;116;235
35036;116;235
35037;116;235
35038;116;235
35039;116;235
35040;116;235
35041;116;235
35042;116;235
35043;116;235
35056;106.9739532;240.2596588
35057;106.1394272;240.6547546
35058;105.3258209;240.2841339
35059;104.9422531;239.6779175
35067;106;241.07724
35067;106;241.3285217
35068;106;241.507431
35069;106;241.9026337
35070;105.5561905;242.6811218
35071;105.807312;241.6140289
35072;84.16339111;218.5486755
35073;65.50005341;200.0241394
35074;56.61863708;191.469162
35075;28.35326576;167.3812408
35076;23.92114449;177.6946106
35077;42.16765976;250.4229889
35078;66;344
35079;66;344
35080;66;344
35081;66;344.0910339
35086;79.80992126;291.5350647
35087;82.30699158;283.2642517
35088;88.95410156;259.5930481
35088;89.15301514;260.5168457
35088;94.61042023;245.0603485
35088;96.9745636;233.3443146
35089;100.3375626;230.0275574
35090;106;220
35091;106;220
35092;106;220
35093;106;220.0930481
35094;106;220.3452148
35095;106;220.426651
35096;106;220.3377533
35097;106;220.2488556
35098;104.0557404;218.3650665
35099;103.4770508;218.8489838
35100;104.300972;218.1507111
35101;105.2076874;217.2808533
35102;106;216.4109955
35103;106;217.7158813
