GRID_CODE;JSOW;JRIP
24024;59;205
27084;59;205
28064;56.01295853;201.9788818
28065;56.88597107;203.1822357
28066;57.60856628;204.049469
28067;58.19804764;204.2691498
28068;58.45285416;204.4528503
28069;58.80478287;204.8047791
28080;59;205
28081;59;205
28082;59;205
29064;54.8732605;201.2926788
29065;56.78705597;202.8807983
29066;57.00873184;203.3046722
29067;56.20334625;202.5006104
29068;55.31072998;201.724472
29069;51.35960388;198.3812103
29080;58.97383881;204.9738312
29081;59;204.992691
29082;59;205
29083;59;205
29085;59;204.6480865
30064;54.97309494;201.4913177
30064;55.73158646;202.1591339
30065;57.84126282;203.8613892
30066;57.87692261;203.8968506
30067;53.62414932;200.2973633
30068;50.11989594;197.3322296
30069;47.12277222;194.7961884
30069;48.04365921;195.5676117
30070;48.70197296;196.1758118
30078;58.90357208;204.9035797
30079;58.99124908;204.9912415
30079;58.92346954;204.9234619
30080;58.99237061;204.9923706
30081;59;205
30082;59;204.8988037
30083;59;204.5673828
30086;59;205
30086;59;205
30087;59;205
30089;59;204.9833832
30090;59.1159668;204.8807983
31057;45.0516243;191.9295044
31058;43.99318314;191.4756317
31069;43.91947937;192.1605682
31069;40.44205093;189.4375916
31070;42.35933685;190.8581848
31071;43.89312363;192.099411
31077;55.45321655;201.3526306
31078;56.42651749;202.1538086
31079;58.99948502;204.9994812
31080;58.99947357;204.9994812
31081;59;204.9676666
31082;59;204.5214844
31083;59;204.2626038
31083;59;204.5148773
31083;59;204.2781372
31083;59;204.3863373
31084;59;204.4967041
31087;59;205
31087;59;205
31090;59.05685806;204.9431458
31090;59.1621933;204.8374939
31091;59.78541946;204.2145691
32044;57.00439072;195.5927887
32045;59;194.966095
32047;56.4261322;194.0034332
32056;40.33152008;188.5528259
32056;41.32317734;189.0479126
32057;40.05917358;188.5727997
32058;39.49220657;188.6659851
32070;37.08959198;186.7021484
32071;38.69652176;187.6664429
32072;38.73752975;187.4245453
32078;60.77652359;202.2502136
32078;57.70357132;201.8977509
32078;60.01541519;204.3220825
32078;61.89113235;202.958847
32079;59.48616409;204.7569122
32080;59;205
32080;59;205
32081;59;204.880188
32081;59;205
32082;59;204.0823059
32083;59;204.3106689
32084;59;204.744278
32084;59;204.5252228
32085;59;204.9956055
32085;59;204.8876343
32087;59;205
32088;59;205
32089;59.24188232;204.7581177
32089;59.00619507;204.9938049
32090;59.46737671;204.5326233
32091;59.91383362;204.0861664
33037;31.68352127;200.250824
33038;32.7367363;200.3000641
33039;34.38130188;199.370163
33040;43.51075363;197.7659454
33041;48.39481735;197.0731506
33042;44.58073807;198.1159973
33046;59;194.9380188
33047;58.31574249;194.7135925
33048;57.6570015;194.4130096
33056;39.92930222;188.3719025
33057;38.41835403;187.9701843
33058;38.87720871;188.5865326
33059;39.07452011;188.9060364
33069;36.91669083;187.4957886
33070;36.74875259;186.8483734
33071;37.75367737;187.078476
33072;38.3157692;187.1132813
33077;64.18965149;201.857254
33078;60.5725174;203.8893127
33078;61.24433517;203.8778381
33079;59;205
33080;59;205
33081;59;204.881012
33082;59;204.9977417
33082;59;204.8454285
33082;59;204.3706512
33083;59;204.4982605
33084;59;204.6663513
33087;59;205
33088;59;205
33089;59.71210861;204.2878876
33090;59.98713303;204.0128632
33091;60.62181854;203.8380127
33092;61.3888855;203.6291351
34035;29.79163933;200
34036;31.01188087;199.7694397
34037;32.42982483;199.6482239
34038;33.48303604;199.6974487
34039;36.60693359;198.8624878
34040;46.97452545;197.0511627
34041;57.46414566;195.3163605
34042;58.73397064;195.0665131
34047;59;194.983139
34048;58.50394058;194.7648773
34049;57.17703247;194.1305237
34056;38.23392868;187.1696777
34057;37.74169159;187.0455017
34058;37.49935532;187.5859375
34068;36.95042419;188.9725189
34069;36.82914734;187.8556824
34070;36.3662796;186.8805847
34071;36.85265732;186.8087311
34073;52.07721329;192.7472839
34074;53.89126587;193.5518188
34076;64.82769775;199.7371979
34076;63.04550171;198.7293549
34077;63.12817383;201.7754669
34077;62.81015015;199.8009338
34078;59;205
34079;59;205
34080;59;205
34081;59;205
34082;59;205
34082;59;204.9555664
34082;59;205
34084;59;204.9962158
34085;59;204.9937134
34087;59;205
34088;59;205
34088;59.05720139;204.9427948
34088;59;205
34088;59;205
34089;60.05795288;204.443634
34090;60.45316696;204
34091;61.23643112;203.683197
34092;61.79978943;203.415802
34093;62.34725952;203.216156
35035;29.3210907;200
35036;30.44265366;199.781662
35037;32.24996948;199.4784546
35038;34.05728531;199.1752472
35039;38.85475922;198.3681793
35040;49.5102005;196.7303009
35041;56.68501663;195.5787506
35042;58.15707397;195.0098572
35043;58.84331894;194.5360718
35056;37.92089081;186.0420227
35057;37.31674576;186.6013031
35058;36.6576767;186.8739319
35059;36.26929474;187.1003265
35067;35.50674057;188.9173431
35067;35.7099762;189.939209
35068;35.96149445;188.2897949
35069;35.7204361;186.3424988
35070;35.44043732;185.5258331
35071;35.15821075;185.162262
35072;43.60006332;188.8515625
35073;51.00200653;192.1301117
35074;54.53559494;193.7204285
35075;65.53213501;198.4525909
35076;67.46546936;199.3448486
35077;64.73426819;202.0566559
35078;59;205
35079;59;205
35080;59;205
35081;59;205
35086;59;205
35087;59.07685471;204.9231415
35088;59.31495667;204.6850433
35088;59.23877335;204.7612305
35088;59.59558868;204.4367676
35088;59.08751678;204.9124756
35089;60.07889938;204.3190765
35090;61.01008224;203.9632721
35091;61.41798019;203.6042175
35092;61.78141785;203.245163
35093;62.37708282;203
35094;63.48053741;203
36034;29.88435173;201.0473175
36035;29;200
36036;29.19860268;199.9607544
36037;30.78527641;199.6630096
36038;33.31409454;199.3245087
36039;40.4678688;198.3419952
36040;51.459198;196.6430664
36041;54.11905289;195.7146606
36042;57.30832291;194.8482666
36043;58.68289566;194.2301941
36044;59;194.1997986
36056;37.50934219;186.5114441
36057;36.49541092;186.3483734
36058;35.36642075;186.3406067
36059;35.24906158;186.3336334
36066;35.32291794;190.1162109
36067;35.08401871;189.2581482
36068;35.27301788;187.3724365
36069;35.37385559;185.2132111
36070;35.38579941;185.3571777
36071;36.1471138;186.1593781
36072;43.44169235;188.9699097
36073;48.99620438;191.1462402
36075;67.19989777;199.033371
36076;69.14884949;199.8547211
36077;67.61012268;199.4915924
36078;60.06847382;204.1986389
36079;59;205
36080;59;205
36081;59;205
36081;59;205
36082;59;205
36082;59;205
36083;59;205
36083;59;205
36085;59;205
36087;59.60340118;204.3965912
36087;59.31977463;204.6802216
36088;60.07833099;203.9216614
36089;60.59803009;203.730484
36090;61.09345627;203.3832855
36091;61.45373917;203.0518188
36092;61.86814117;202.8363647
36093;62.77868652;202.7716522
36094;63.64397812;202.9252472
36095;65.08366394;202.5597229
37034;29.02285767;200
37035;29;200
37036;29;200
37037;29.25557327;199.9361115
37038;35.12273407;199.1455231
37039;42.03074265;198.232254
37040;44.3776474;197.4057465
37041;49.94643021;196.0222168
37042;55.69541168;194.8579102
37043;58.74711227;194.3639679
37044;59;194.79776
37045;58.29295349;194.8674316
37046;58.83601379;195
37057;35.26124573;188.1029358
37058;35;188.1763763
37063;35.44911194;190.7227325
37064;35.40141678;190.7828522
37065;35.07919693;190.0575409
37066;35.00597382;189.6251678
37067;35;189.0138702
37068;35.30846405;187.3417358
37069;36.27243423;185.7371979
37070;37.17361069;185.8516998
37071;38.56924438;186.6220551
37075;68.18045807;198.7830811
37076;69.39148712;200.3042603
37077;67.20116425;200.3010406
37078;62.70700073;202.6842499
37079;60.56455994;204.2177124
37080;59.90358734;204.5482025
37081;59.11283112;204.9435883
37082;59;205
37083;59;205
37085;59.08140564;204.9185944
37085;59.03936005;204.9606323
37086;59.3122673;204.6877289
37087;59.73908615;204.26091
37087;59.61748505;204.3825226
37088;60.12768555;203.8723145
37089;60.6760025;203.3239899
37090;61.20500183;202.8191986
37091;61.62943268;202.6252441
37092;62.14718246;202.452774
37093;63.30699539;202.4280243
37094;64.28323364;202.5144348
37095;65.19812012;202.2795258
37096;66.48518372;201.9716949
38033;30.32192421;203.0185089
38034;29;200
38035;29;200
38036;29.52015495;199.8699646
38037;30.53415489;199.6164551
38038;32.28892136;199.3105621
38039;38.4505043;198.4919739
38040;45.0003891;197.3497314
38041;55.15062332;195.241745
38042;57.87406158;194.8294067
38043;58.58603287;194.9169769
38044;57.74806595;194.7652588
38045;53.92688751;194.0487976
38046;54.15891266;194.3888092
38047;59;195
38048;57.32417679;194.6538849
38057;35.0062561;189.1068115
38058;35.00770187;189.7512665
38062;35.01773453;189.5809479
38063;35;189.8832397
38064;35;190
38065;35;189.7505646
38066;35;189.3071289
38067;35.18311691;188.5111237
38068;35.80524063;187.0037842
38069;38.06995392;187.2272949
38075;69.14071655;199.3126068
38076;69.04296875;200.4785156
38077;66.95719147;201.5214081
38078;63.92921448;202.6902618
38079;62.52976227;203.2351227
38080;61.3983345;203.8008423
38081;59.6462059;204.8685455
38082;59.00336075;204.9983215
38083;59;205
38084;59;205
38084;59;205
38086;59.29466629;204.7053375
38087;59.69737625;204.3026276
38087;59.64496231;204.4530945
38087;59.81934357;204.1806641
38088;60.20166016;203.7983398
38088;60.08653259;203.9134674
38089;60.78343964;203.216568
38090;61.36421967;202.6517639
38091;61.81515503;202.2201691
38092;62.6546936;202.1217346
38093;63.81450272;202.0969849
38094;64.92407227;202.0912018
38095;65.85124207;201.8685303
38096;66.77841949;201.6871033
38097;67.88670349;201.5697479
39033;29.26090431;200.6957397
39034;29;200
39035;29;200
39036;29;200
39037;30.47160721;199.6320953
39038;32.14330292;199.2141724
39039;37.89803314;198.1836548
39040;48.31882477;196.4468689
39041;57.3549614;195.1479187
39042;58.60471344;195
39043;58.63962936;195.6006165
39044;57.50957489;196.3926239
39045;49.36815643;193.4489136
39046;47.0680275;192.8121643
39047;51.85648346;193.6786652
39048;54.7745285;194.2353516
39057;35.01489258;189.7142181
39058;35.00167847;189.9973755
39061;35;190
39062;35;189.9328461
39063;35;190
39064;35;190
39065;35;189.7153625
39066;35;189.1219788
39067;35.23043442;188.3086853
39074;66.08742523;198.4005432
39075;68.99739075;199.628479
39076;69.68454742;199.8673859
39077;68.06574249;201.0794983
39078;65.55440521;202.0623627
39079;63.57701492;203
39080;62.2323494;203.5841217
39081;60.16569519;204.8297272
39082;59.28775024;205
39083;59;205
39084;59;205
39085;59;205
39086;59.49136353;204.9463196
39087;60.1391716;204.4245453
39088;60.53350067;203.5151062
39089;61.02740479;202.9851685
39091;62.36435318;201.9680328
39092;63.04184723;201.6103821
39093;64.18743134;201.5643158
39094;65.30474854;201.4313202
39095;66.46224976;201.4127502
39096;67.43154907;201.4025116
39097;68.07866669;201.2224579
40032;31.17769241;205.8071747
40033;29.39665222;201.0577393
40034;29;200
40035;29;200
40036;29;200
40037;29.75136566;199.8121643
40038;32.99155807;199.1260681
40039;38.89291763;198.0178528
40040;50.80903244;196.3529816
40041;57.72829056;195.4827576
40042;58.09201431;196.1669617
