GRID_CODE;JSOW;JRIP
28034;61;186.6571503
28035;61;186.1350861
28036;61;185.6126556
28037;61;185.067337
29030;61;187.4404907
29031;61;185.6114655
29032;61;186.5580597
29033;61;186.7998047
29034;61;186.0705872
29035;61;185.2913513
29036;61;185
29037;61;185.9716187
29038;61;187.8276825
29039;61;189.2236328
30029;61;190.6082458
30030;61;186.9705963
30031;61;186.2423401
30032;61;185.0595551
30033;61;185.8404388
30034;61;185.1921844
30035;61;185
30036;61;185.8048859
30037;61;187.9834595
30038;61;190.4785767
30039;61;190.2723083
30040;61;190.4035339
30041;61;194.9790955
31029;61;190.4359283
31030;61;188.9560089
31031;61;189.0369415
31032;61;187.2409515
31033;61;185.2595062
31034;61;185.7613678
31035;61;187.174057
31036;61;188.7319031
31037;61;191.2270203
31038;61;193.7221375
31039;61;193.6978455
31040;61;194.8041382
31041;61;198.2565918
31042;61;198.6713562
32028;61;195.5499268
32029;61;194.8396606
32030;61;192.6893463
32031;61;192.3602142
32032;61;190.3787689
32033;61;189.1976776
32034;61;191.2368622
32035;61;192.6933899
32036;61;193.9373322
32037;61;195.1578522
32038;61;196.9657135
32039;61;197.3594208
32040;61;199.5788269
32041;61;198.944809
32042;61;199.0470734
32044;61;200
32045;61;200
32047;62.67409134;197.3623199
32056;73.00772095;-9999
32056;73.82981873;-9999
32057;74.14112091;-9999
32058;74.70688629;-9999
33028;61;199.8581238
33029;61;199.5798645
33030;61;196.4607697
33031;61;195.4980469
33032;61;193.3676758
33033;61;194.1545563
33034;61;196.1937408
33035;61;198.212738
33036;61;199.4700317
33037;61;200.5070038
33038;61;200.792984
33039;61;200.8922577
33040;61;200.4903717
33041;61;199.8766327
33042;61;199.4922791
33046;61;200.0000153
33047;61.41642761;199.6682434
33048;61.78417969;199.3442383
33056;72.62770081;-9999
33057;71.91506195;-9999
33058;72.24263;-9999
33059;72.29219818;-9999
34027;61;199.8622589
34028;61;200.7852783
34029;61;200.7595367
34030;61;200.1629181
34031;61;198.4806061
34032;61;197.0722504
34033;61;199.1114349
34034;61;200.3940125
34035;61;200.3684998
34036;61;200.3714447
34037;61;200.5248566
34038;61;200.8108368
34039;61;200.8678894
34040;61;200.4776001
34041;61;200.2149658
34042;61;200.0665131
34047;61;200.0003052
34048;61.2652359;199.7543793
34049;61.88240051;199.2311859
34056;70.01631927;-9999
34057;69.24689484;-9999
34058;69.52044678;-9999
34068;80.69773102;-9999
34069;73.57192993;-9999
34070;63.61138153;-9999
35027;61;200.1574402
35028;61;200.5124969
35029;61;200.8702393
35030;61;200.9542389
35031;61;200.9338379
35032;61;200.9425201
35033;61;200.9170074
35034;61;200.8914795
35035;61;200.8659668
35036;61;200.8674011
35037;61;200.879303
35038;61;200.8912048
35039;61;200.8659973
35040;61;200.7670746
35041;61;200.5787506
35042;61;200.2107239
35043;61;200.0391693
35056;65.89054108;197.0446625
35057;66.31462097;199.866806
35058;66.72426605;-9999
35059;67.08017731;-9999
35067;80.27545929;-9999
35067;80.13452148;-9999
35068;80.57896423;-9999
35069;80.24599457;-9999
35070;76.61416626;-9999
35071;64.91269684;-9999
35072;61.91172028;-9999
35073;59.52377319;-9999
35074;62.92819595;-9999
35075;56.90730667;-9999
36027;61;200.0200043
36028;61;200.2814789
36029;61;200.6763916
36030;61;201
36031;61;201
36032;61;201
36033;61;201
36034;61;201
36035;61;201
36036;61;201
36037;61;201
36038;61;201
36039;61;201
36040;61;201
36041;61;200.7666016
36042;61;200.4229126
36043;61;200.0792694
36044;61;200
36056;65.85025024;197.4787292
36057;64.31259155;198.2019958
36058;63.96269226;198.6067047
36059;65.29380035;199.2918549
36066;75.91497803;-9999
36067;77.40231323;-9999
36068;74.95805359;-9999
36069;77.49065399;-9999
36070;73.69467926;-9999
36071;65.37339783;-9999
