GRID_CODE;JSOW;JHAR
32090;78.62776947;-9999
32091;79.22200775;-9999
33039;86.0911026;336.3368835
33040;85.91040802;333.508728
33041;85.65289307;330.7783508
33042;85.28939819;329.320343
33046;84.21618652;316.1749268
33047;83.89073944;313.9127197
33048;83.90081024;311.7116699
33056;77.26052094;287.0179138
33057;78.31363678;284.2710876
33058;77.75164032;281.129425
33059;77.56017303;279.0787048
33069;65.4213028;252.1305237
33070;65.37488556;252.8639679
33071;65.80053711;254.2419434
33072;66.09767151;256.2512817
33077;75.04039001;-9999
33078;77.6687851;-9999
33078;78.62718201;-9999
33079;79.16595459;-9999
33080;76.4005127;-9999
33081;75.01088715;-9999
33082;75.1647644;-9999
33082;75.52940369;-9999
33082;75.07497406;-9999
33083;75;-9999
33084;75;-9999
33087;77.50276947;-9999
33088;79.99869537;-9999
33089;82.0767746;-9999
33090;82.42890167;-9999
33091;81.53614807;-9999
33092;80.22483826;-9999
34037;86.00361633;337.5086365
34038;86.31704712;337.5181274
34039;86.47695923;336.5521851
34040;86.33683014;333.6800232
34041;87.12081909;332.2632751
34042;87.51631927;330.4263611
34047;84.73247528;312.6047058
34048;84.38642883;311.5822449
34049;84.38282776;306.7719421
34056;80.81469727;284.2088928
34057;81.19929504;281.6712036
34058;80.51648712;278.5858459
34068;66.0226593;252
34069;65.38249969;252.0374451
34070;65.21299744;252.8519745
34071;65.46896362;253.8337097
34073;69.87098694;270.962616
34074;70.38763428;272.9550476
34076;74.59933472;289.1332703
34076;73.65856171;286.3622131
34077;73.95978546;281.7434387
34077;77.02715302;286.738739
34078;82.82310486;-9999
34079;84.16596222;-9999
34080;81.42128754;-9999
34081;79.65792847;-9999
34082;80.05664825;-9999
34082;76.05287933;-9999
34082;76.60622406;-9999
34084;75.01038361;-9999
34085;75.06572723;-9999
34087;79.40713501;-9999
34088;81.92414093;-9999
34088;82.05592346;-9999
34088;84.22192383;-9999
34088;82.51137543;-9999
34089;86.1757431;-9999
34090;85.10788727;-9999
34091;83.83084106;-9999
34092;82.3973999;-9999
34093;80.38315582;-9999
35036;86.10434723;337.8943481
35037;86.41778564;337.9038391
35038;86.73122406;337.9132996
35039;87.02563477;337.0237427
35040;88.99702454;337.4745178
35041;90.0460968;336.2567444
35042;89.66043854;332.9429626
35043;90.20423889;331.9960632
35056;85.02168274;280.7168274
35057;83.72895813;278.8077698
35058;83.14228821;275.8265686
35059;82.72233582;274.0540466
35067;66.84552002;252.3556671
35067;66.31570435;252
35068;65.98513794;252
35069;65.19471741;252
35070;65.08876038;252.3550568
35071;65.03853607;252.1541443
35072;67.44081116;261.7475281
35073;69.52993774;269.6372986
35074;70.53384399;273.5485535
35075;73.75101471;285.3829041
35076;74.52423859;287.3757629
35077;78.8848877;292.9229736
35078;84.71622467;298.6760559
35079;85.95948792;299.6913147
35080;86;300.706604
35081;84.7616806;-9999
35086;79.18482208;-9999
35087;80.1674118;-9999
35088;85.25869751;-9999
35088;85.31231689;-9999
35088;82.7179184;-9999
35088;82.21304321;-9999
35089;86.58675385;-9999
35090;87.41280365;-9999
35091;85.89750671;-9999
35092;84.3588028;-9999
35093;82.59448242;-9999
36035;85.98054504;337.3995056
36036;85.17028046;338
36037;85.82613373;338
36038;86.84957123;338.0870361
36039;88.71450043;338.6579895
36040;91.35469818;340.3569336
36041;92.59630585;340.5068665
36042;92.55731201;337.5098572
36043;92.3364563;334.6583557
36044;92.43908691;333.0025024
36056;85.22711945;279.254425
36057;85.19764709;276.1746216
36058;85.19324493;273.1820984
36059;84.57595062;272.7150879
36066;69.30925751;252.0461731
28080;75.48140717;-9999
28081;75.29605103;-9999
28082;75.32550812;-9999
29064;79.50513458;-9999
29065;78.87638855;-9999
29066;77.30529785;-9999
29067;76.21025085;-9999
29068;75.22303772;-9999
29069;72.32569885;-9999
29080;75.13113403;-9999
29081;75;-9999
29082;75;-9999
29083;75.00630188;-9999
29085;75;-9999
30064;77.44908905;-9999
30064;77.10066223;-9999
30065;74.56377411;-9999
30066;74.54699707;-9999
30067;72.56829834;-9999
30068;70.51806641;-9999
30069;68.64904785;-9999
30069;70.2071228;-9999
30070;71.6257019;-9999
30078;75.28927612;-9999
30079;75.22959137;-9999
30079;75.02625275;-9999
30080;75.02288818;-9999
30081;75;-9999
30082;75;-9999
30083;75;-9999
30086;75;-9999
30086;75;-9999
30087;75;-9999
30089;75;-9999
30090;75.44205475;-9999
31057;76.3089447;-9999
31058;75.63514709;-9999
31069;66.08181;-9999
31069;67.76229095;-9999
31070;67.65756226;-9999
31071;69.40084839;-9999
31077;73.30162811;-9999
31078;73.70518494;-9999
31079;75.00154114;-9999
31080;75.00157928;-9999
31081;75;-9999
31082;75;-9999
31083;75;-9999
31083;75;-9999
31083;75;-9999
31083;75;-9999
31084;75.01644897;-9999
31087;75.42964172;-9999
31087;75;-9999
31090;76.30000305;-9999
31090;76.51412964;-9999
31091;77.7436676;-9999
32044;84.15433502;-9999
32045;84.17160034;-9999
32047;83.12889099;313.623291
32056;76.75622559;287.4785461
32056;75.75933075;288.2516174
32057;75.83354187;286.5341187
32058;75.24163055;283.2481384
32070;65.4934845;252.3602448
32071;66.0483551;254.4345093
32072;66.22677612;-9999
32078;77.45953369;-9999
32078;74.41215515;-9999
32078;73.81893921;-9999
32078;75.30892944;-9999
32079;76.82945251;-9999
32080;75.23307037;-9999
32080;75;-9999
32081;75;-9999
32081;75.00719452;-9999
32082;75;-9999
32083;75;-9999
32084;75.1212616;-9999
32084;75.03334045;-9999
32085;75.29097748;-9999
32085;75.21823883;-9999
32087;75.50649261;-9999
32088;75.87469482;-9999
32089;76.03083801;-9999
32089;77.45129395;-9999
36067;66.28721619;251.3513336
36068;65.32050323;252.4236603
36069;65.29007721;252.5163269
36070;65.26062012;253.390274
36071;65.34076691;255.7472382
36072;67.47737122;262.851532
36073;68.94371033;267.7585754
36075;74.08383179;287.3388672
36076;74.8600769;289.5922852
36077;76.97290039;291.5745544
36078;84.52888489;298.6624451
36079;86;300.3309631
36080;86;300.7131958
36081;85.76789856;300.9407959
36081;84.56598663;300.8728943
36082;82.94641876;300.7293701
36082;81.84859467;300.631073
36083;80.91833496;-9999
36083;81.21903992;-9999
36085;75.08126068;-9999
36087;82.68603516;-9999
36087;81.56790161;-9999
36088;86.42223358;-9999
36089;88.33939362;-9999
36090;90.24246979;-9999
36091;88.65722656;-9999
36092;86.82302856;-9999
36093;84.13471222;-9999
36094;82.65501404;-9999
37035;85.60179901;332.222168
37036;85.13518524;329.5285645
37037;86.12778473;338
37038;87.70895386;338.3864136
37039;89.53547668;338.8514099
37040;93.02682495;344.4593811
37041;94.05754852;343.7569885
37042;93.98493958;340.5920715
37043;93.85437775;336.8812866
37044;93.99091339;332.9575195
37045;93.40525055;327.34375
37046;93.03649902;322.8130188
37057;85.87893677;268.7911682
37058;85.97061157;268.0766296
37063;85.49542236;254.1309509
37064;85.41106415;253.3190308
37065;81.39525604;252.0969391
37066;72.03883362;250.8699036
37067;65.41967773;249.8206482
37068;65.30846405;252.6395721
37069;65.98729706;253.718689
37070;66.52428436;255.0374603
37071;66.73384857;257.5494385
37075;74.69868469;289.3548279
37076;75.60851288;291.6085205
37077;77.79883575;293.3594971
37078;82.29299927;296.9886169
37079;84.43544006;299.1123962
37080;85.45111847;300.0949707
37081;85.97389221;300.9221802
37082;83.73034668;300.7790222
37083;80.77799988;300.5250244
37085;77.14211273;-9999
37085;76.45052338;-9999
37086;82.22514343;-9999
37087;86.11992645;-9999
37087;85.7614212;-9999
37088;89.8087616;-9999
37089;92.79203796;-9999
37090;92.96295929;-9999
37091;91.08262634;-9999
37092;89.03076172;-9999
37093;85.79878998;-9999
37094;83.65900421;-9999
38034;86;337.6349487
38035;86;337.7108154
38036;86.26007843;338
38037;86.76707458;338
38038;87.37886047;338.0758972
38039;89.42938232;339.3346863
38040;92.87464142;344.4868164
38041;95.35938263;346.3622437
38042;95.22177124;342.585022
38043;95.04093933;338.4007568
38044;94.5766449;333.3397827
38045;93.56529236;326.70224
38046;93;321.0214844
38047;92.19836426;317.2324219
38048;91.3415451;313.8900757
38057;86.02902985;265.8364258
38058;86.03574371;264.5591125
38062;85.86817932;254.4339752
38063;85.97080994;252.6130219
38064;84.24311066;251.6095734
38065;82.75471497;251.5007935
38066;73.42661285;250.1685028
38067;67.10224152;250.1161957
38068;67.34626007;252.9463806
38069;69.18752289;258.1920166
38075;75.28834534;290.7748413
38076;76.15337372;291.9570313
38077;78.38818359;294.0428162
38078;83.00743866;296.8646851
38079;85.37677765;298.6925964
38080;87.78089142;300.3407593
38081;86.96375275;300.8965454
38082;85.1265564;300.2475281
38083;83.60700989;300.1865234
38084;82.69265747;300.0198975
38084;80.94245911;300.3990479
38086;90.25688171;-9999
38087;90.42631531;-9999
38087;91.87090302;-9999
38087;90.45839691;-9999
38088;93.96026611;-9999
38088;96.35845947;-9999
38089;98.30680847;-9999
38090;97.28710175;-9999
38091;93.46188354;-9999
38092;90.818573;-9999
38093;87.58659363;-9999
38094;84.69007111;-9999
38095;84.266716;-9999
39034;86;337.8137512
39035;86;337.8833618
39036;86;337.9110413
39037;86.7358017;338
39038;87.57165527;338
39039;89.87769318;340.4083557
39040;94.09332275;345.8634338
39041;96;347.8225098
