GRID_CODE;JSOW;JRIP
12014;334.241333;108.3342896
12015;334.6661682;107.3082199
12016;335.0691223;106.8117065
12017;335.3494263;107.1225128
12018;335.576355;107.5192413
12019;335.7981262;107.9302063
12020;336.0678101;108.8030396
12021;336.352417;114.9229126
12022;336.6651306;120.8152771
12023;337.0230103;125.8818207
12024;337.26651;122.312973
12025;337.5610657;119.7291031
12026;337.9434204;118.9278793
12027;338.3257751;118.1266479
12028;338.7081299;117.3254166
12029;339.0905151;116.5241928
12030;339.4728699;115.7229614
12031;339.8707581;114.9971313
12032;340.3255615;114.5479507
12033;340.780365;114.0987701
12034;341.2351685;113.6495895
12035;341.6899719;113.2004089
12036;342.1448059;112.7512283
12037;342.5996094;112.3020477
12038;343.0544128;111.8528671
12039;343.5513611;111.2099915
12040;339.2003784;107.6496201
12041;336.0699768;105.8660736
12042;335.4441223;105.8925781
12043;336.0161133;105.8959427
12044;340.9718933;105.8146133
13014;333.9969482;109.322731
13015;334.2554932;108.7920074
13016;334.6872253;107.8848267
13017;334.9502563;107.7513428
13018;335.0665283;107.9962769
13019;335.3145752;113.7869263
13020;335.5991821;119.9068069
13021;335.9110413;125.8059998
13022;336.1869202;131.3642426
13023;336.6142578;134.3956757
13024;336.8422852;130.4617767
13025;337.0703125;126.5278778
13026;337.4364014;125.3964081
13027;337.8187561;124.5951767
13028;338.2011108;123.7939529
13029;338.5834656;122.9927216
13030;338.9658508;122.1914902
13031;339.3482056;121.3902664
13032;339.7305603;120.5890427
13033;340.112915;119.7878036
13034;340.4953003;118.9865799
13035;340.9188538;118.3855286
13036;341.3736572;117.936348
13037;341.8592224;117.3457336
13038;342.3791199;116.5973282
13039;340.8502808;114.6661987
13040;330.3456116;107.5532532
13041;328.4033813;106.6284027
13042;327.7775269;106.6548996
13043;327.1516724;106.6814117
13044;326.5258179;106.7079163
13045;326.2557983;106.7275467
13046;331.2115784;106.6462173
13047;336.1673584;106.5648804
13048;341.1231384;106.483551
14019;335.0180664;121.8657303
14020;335.1916504;130.523468
14021;335.461731;136.4391632
14022;335.7882385;141.8568268
14023;336.1900024;142.5444641
14024;336.4180298;138.6105652
14025;336.6460571;134.6766815
14026;336.9293823;131.8649292
14027;337.3117371;131.0637054
14028;337.6940918;130.2624817
14029;338.0764465;129.4612427
14030;338.4588013;128.6600189
14031;338.8411865;127.8588028
14032;339.2235413;127.0575638
14033;339.605896;126.25634
14034;339.9882507;125.4551086
14035;340.2485962;124.2079163
14036;340.6869812;122.7330627
14037;341.2068787;121.9846573
14038;341.7267761;121.2362671
14039;331.9955139;114.5698166
14040;321.4908447;107.4568634
14041;320.7367859;107.3907166
14042;320.1109314;107.4172211
14043;319.4850769;107.4437332
14044;318.8592224;107.4702377
14045;318.6530151;108.3938904
14046;317.5748596;107.7006836
14047;316.8827515;108.001442
14048;321.1783142;107.8861618
14049;326.2911072;107.5699081
14050;331.3628235;107.3151627
14051;336.3186035;107.2338181
14052;341.2743835;107.1524887
15020;335.0050049;139.4346924
15021;335.0331726;146.5116425
15022;335.4266968;152.0092773
15023;335.7657471;150.6932678
15024;335.9937744;146.7593689
15025;336.2218018;142.82547
15026;336.4498291;138.891571
15027;336.804718;137.5322418
15028;337.1870728;136.7310028
15029;337.5694275;135.9297791
15030;337.9517822;135.1285553
15031;338.334137;134.3273163
15032;338.6367188;133.2344513
15033;338.8742676;131.9040985
15034;339.1118164;130.5737457
15035;339.4976196;129.0511169
15036;340.0346375;127.3720016
15037;340.5545349;126.6235962
15038;333.6454163;121.5863876
15039;323.1407166;114.4734268
15040;313.6960144;108.1265335
15041;313.0701599;108.153038
15042;312.4443359;108.1795425
15043;311.8184814;108.2060471
15044;312.0586853;110.084137
15045;314.3003235;116.2692337
15046;311.1820984;111.3410416
15047;308.9498596;108.8980331
15048;307.7098694;109.2384567
15049;307.7182312;109.4884872
15050;311.6976013;109.4509735
15051;315.8892517;109.3612366
15052;321.0020752;109.0449905
15053;326.1148987;108.7287369
15054;331.2277222;108.4124832
15055;336.3405151;108.0962296
15056;341.4256287;107.8214264
16021;334.9998474;155.9521332
16022;335.0833435;161.540451
16023;335.3415222;158.8420563
16024;335.5695496;154.9081726
16025;335.7975769;150.9742737
16026;336.0256042;147.0403748
16027;336.2976685;144.0007629
16028;336.6800537;143.1995392
16029;337.0248108;142.2609863
16030;337.2623901;140.9306335
16031;337.499939;139.6002808
16032;337.7375183;138.269928
16033;337.9750671;136.9395752
16034;338.3060608;135.4880219
16035;338.8438416;133.7682495
16036;339.3816223;132.0484924
16037;335.2952881;128.602951
16038;324.7906189;121.4900131
16039;314.2859497;114.3770523
16040;306.0294189;108.8888474
16041;305.4035645;108.9153595
16042;304.7777405;108.9418564
16043;305.464386;111.7743988
16044;308.1426392;118.8648224
16045;307.9145203;119.9290314
16046;304.7962952;115.0008469
16047;301.6781006;110.0726624
16048;300.3248596;110.0953827
16049;299.0848694;110.4358063
16050;297.8448792;110.7762375
16051;299.4928589;110.8384628
16052;306.2022095;110.4024734
16053;312.0023499;110.9587173
16054;317.2478638;110.6385117
16055;322.4934082;110.3183136
16056;327.7389221;109.9981079
16057;332.9844666;109.6779022
16058;340.4607849;112.0054321
16059;344.841156;111.7237091
17021;334.4641724;164.2629852
17022;334.7153015;164.2402802
17023;335.2823486;160.8781586
17024;335.4872742;157.5407104
17025;335.6780396;154.207962
17026;335.8687744;150.8752136
17027;336;148.3223267
17028;336;148.0483856
17029;336.1256409;147.2964478
17030;336.3631897;145.966095
17031;336.600769;144.6357422
17032;336.8383179;143.3053894
17033;337.1145325;141.9249268
17034;337.6522827;140.2051544
17035;338.1900635;138.4853973
17036;338.1217957;136.6963196
17037;326.4405212;128.5065765
17038;315.9358521;121.3936234
17039;305.4311829;114.2806702
17040;298.3628235;109.6511688
17041;297.736969;109.677681
17042;298.8700562;113.464653
17043;301.5483093;120.5550766
17044;304.226593;127.6455002
17045;301.5286865;123.588829
17046;298.4104919;118.6606369
17047;295.2922974;113.73246
17048;292.9398193;110.9522934
17049;292.0165405;111.1076584
17050;291.1448364;111.2328568
17051;290.2731628;111.3580704
17052;295.4375916;111.0364304
17053;302.0368347;113.0652924
17054;307.2823792;112.7450867
17055;312.5278931;112.4248886
17056;317.7804565;112.2503967
17057;323.5422974;122.6563034
17058;333.914917;118.0464935
17059;338.7939453;117.7679901
17060;344.0929565;117.0863571
17061;345.3713684;117.3155823
17062;344.9319153;117.6928329
18021;334.3480835;163.999939
18022;334.3916016;162.7639771
18023;334.9380188;159.3970642
18024;335.5111389;155.9371948
18025;335.8616638;152.5513306
18026;336;149.9050903
18027;336;149.0706482
18028;336;148.4370422
18029;336;148.3343658
18030;336;148.2316742
18031;336;148.1289978
18032;336;148.0256195
18033;336.7419739;144.7848358
18034;337.5486145;141.2893066
18035;336.8980713;141.2019348
18036;334.3494873;141.9133148
18037;323.0996704;134.4691772
18038;307.9915771;122.29776
18039;296.5763855;114.1843033
18040;290.696228;110.4134903
18041;292.2757568;115.1548996
18042;294.95401;122.2453308
18043;297.6322632;129.3357544
18044;298.2611084;132.1768188
18045;295.1428833;127.2486267
18046;292.0246887;122.3204498
18047;289.8688965;116.5515137
18048;288.2484131;113.8992767
18049;286.568573;112.8680725
18050;284.8887329;111.8368607
18051;283.8152161;111.673233
18052;284.6729736;111.6704025
18053;292.0713501;115.1718826
18054;297.316864;114.8516693
18055;302.6211853;115.7522964
18056;308.3830261;126.1582031
18057;316.480957;131.0154724
18058;327.3690491;124.0875397
18059;332.2480774;123.8090363
18060;343.9214172;117.0085297
18061;345.3236389;118.3072128
18062;343.9538574;121.4983368
19022;334.1246338;162.2637787
19023;334.5578613;160.4225616
19024;335.1226501;157.542984
19025;335.5577698;153.8665619
19026;335.8752747;151.6530304
19027;336;149.8189545
19028;336;148.9845123
19029;336;148.7230225
19030;336;148.6000671
19031;336;148.2987061
19032;336.1112671;147.5179138
19033;336.4277954;145.1687164
19034;335.5024414;145.7240753
19035;334.5770874;146.2794495
19036;330.5771484;147.1303253
19037;321.4754333;142.3180695
19038;306.3673401;130.146637
19039;291.2592163;117.9752197
19040;285.681427;116.8451538
19041;288.3596802;123.9355774
19042;291.0379333;131.026001
19043;293.716217;138.1164246
19044;291.8752747;135.8366241
19045;288.9956055;130.7000732
19046;287.5107422;124.3449783
