GRID_CODE;JSOW;JHAR
47077;251.040329;173.2920074
47078;251.0449371;172.6710205
47079;255.7659454;174.0682068
47080;261.7025146;179.0451355
47081;256.6730652;172.9110718
47082;256.4407043;172.1815033
47083;260.0733643;175.2549286
47084;257.9299011;169.6942444
47085;258.5571594;166.6803894
47086;258.5836487;175.2720184
48074;250.6320496;171.8933563
48075;250.2259064;172.7374115
48076;250.5520477;173.6476898
48077;252.1314545;170.1713715
48078;250.7410889;166.3679962
48079;253.0171356;164.0423584
48080;253.4733887;164.6834564
48081;247.8637238;161.3068542
48082;249.8238983;167.0480804
48083;251.2793427;172.8377533
48084;250.1524963;172.0725403
48085;255.8608856;163.7810669
48086;258.5268555;166.63974
48087;259;171.2423859
49071;243.4860077;174.2921906
49072;246.2454071;170.6390686
49073;248.0361938;169.5034485
49074;249.4629211;172.165451
49075;251;172.638443
49076;251.9942017;168.0590668
49077;251.1494904;161.6596985
49078;249.6097565;161.5111237
49079;251.776535;166.8530426
49080;253.72789;170.8405457
49081;252.4986572;161.6805573
49082;249.131958;163.4460754
49083;247.0835266;165.916214
49084;252.6608276;170.081604
49085;255.0402069;163.4969025
49086;256.7458191;164.8662872
49087;257.6137695;168.2439728
49088;258.1701965;171.0894928
49089;258;175.2046814
49090;257.1234436;176.0295715
50070;238.7292786;175.3010712
50071;239.4075012;174.5140533
50072;241.9293823;171.0938873
50073;244.5516052;169.9234924
50074;246.3138733;172.7830811
50075;247.3370667;171.7491302
50076;250.6723938;166.3273315
50077;246.5948792;158.5760803
50078;246.1882629;154.5592804
50079;249.7580566;162.8959351
50080;252.3780518;171.285614
50081;253.9835358;169.6585236
50082;248.9342041;168.5323181
50083;249.2897797;169.8862
50084;253.7437439;167.0211487
50085;249.2369995;164.1993866
50086;252.2213745;163.8811493
50087;254.1861267;166.8105011
50088;254.3144226;170.2593689
50089;254.3547058;173.899826
50090;256.084137;173.4632874
50090;256.6828613;173.2718048
51070;238.2561646;175.5739441
51071;238.8312378;172.7451324
51072;238.326416;171.1555939
51073;239.8314514;171.2494507
51074;240.0522461;174.1512299
51075;241.1780701;174.4671631
51076;244.3473206;171.5570679
51077;245.9595947;161.7967987
51078;245.923172;156.0701294
51079;248.5116577;154.6442261
51080;249.8207397;160.1337128
51081;251.8809814;171.6066895
51082;248.5939484;173.7973785
51083;248.4869995;171.5415192
51084;249.0652161;168.0310974
51085;247.0489807;166.2864532
51086;249.1120605;167.1978455
51087;249.535141;170.217514
51088;249.4897308;173.5883942
51089;249.3591309;176.0420532
51090;248.5245209;177.0409241
51094;253.3860626;-9999
52069;239.513916;187.0532227
52070;238.4924469;174.8867188
52071;238.8577271;171.5802765
52072;238.590271;170.9629974
52073;238.1476593;172.9846191
52074;238.7099152;175.7498627
52075;239.2934265;173.2115021
52076;238.9846344;174.3516388
52077;241.3548889;168.3902283
52078;245.5541382;159.4954376
52079;247.7535248;158.2197113
52080;246.6023865;159.5852509
52081;247.0647125;162.0674438
52082;247.5623322;169.0828705
52083;248.3921661;167.4143372
52084;251.0227966;168.7110748
52085;248.0997772;170.542923
52086;246.5231476;173
52087;245.9919891;174.6269989
52088;245.0322723;176.3048248
52089;245.0326538;177.8097687
52090;244.5357971;179.0795593
52094;251.4547577;177.4119873
52095;252.0074768;-9999
53069;239.6714935;185.1077423
53070;239.8078003;176.7188416
53071;240.1293335;175.154129
53072;239.4415436;172.7470703
53073;238.8271484;173.6834412
53074;238.4032745;173.4781799
53075;238.0501099;171.2819672
53076;238.0778809;177.4780273
53077;240.6676788;173.7709198
53078;244.5342712;166.0704651
53079;245.7262573;168.086319
53080;245.1413269;170.022644
53081;245;163.8253174
53082;245.3368225;161.3857422
53083;248.4109497;165.1696167
53084;252.63414;170.8346863
53085;252.183197;173.375
53086;247.7333832;175.6207275
53087;245.2168579;177.2035522
53088;242.5426025;179.0482635
53089;240.4400177;180.8822174
53090;239.8785858;181.4972992
53091;239.1674042;182.1494598
53092;240.8271942;181.8876495
53093;243.9504547;179.9049072
53094;246.9457703;177.8112793
53095;249.8388977;176.1685028
53096;249.6564331;178.102066
54069;240.5907745;186.1931458
54070;241.1046753;180.1884766
54071;241.6532135;177.9933167
54072;241.4341888;175.8704376
54073;240.5241852;175.3704987
54074;240.5180206;175.0108337
54075;240.170517;176.6920929
54076;239.533371;183.2362823
54077;240.4277649;187.1118164
54078;243.1487427;184.4962006
54079;243.8983765;183.7179108
54080;240.7754669;179.4337921
54081;242.7186279;174.8609467
54082;245;174.4759827
54083;246.1517029;177.40448
54084;248.1387329;178.8612671
54085;248.6650085;176.9442902
54086;246.3224182;178.3086548
54087;243.1709747;179.8055573
54088;240.213562;181.4681854
54089;238.1628418;182.8371582
54090;238;183.0593567
54091;238.0634613;183.0963287
54092;239.300354;182.6774445
54092;240.5160675;181.9100037
54093;243.4614716;179.7429352
54094;246.8006744;177.8692932
54095;248.9539032;177.243576
54096;247.6298828;181.1763916
54097;246.263855;183.6495514
55068;241.7074432;196.9430542
55069;241.8480225;184.0626678
55070;241.9537811;179.868515
55071;242.6164551;180.5392761
55072;242.677002;179.5947418
55073;242.4976501;177.995285
55074;241.9725647;179.1108856
55075;241.6318359;184.0244751
55076;240.7758789;191.0148163
55077;242.1390381;194.6098175
55078;241.7978821;190.8114014
55079;240.7654877;187.3981781
55080;236.930542;186.2044525
55081;238.8413391;187.3290558
55082;243.1673737;189.1454163
55083;244.727829;186.9810181
55084;243.5776672;183.1932983
55085;243.4605408;180.9765167
55086;242.2373352;181.1173096
55087;239.8281555;182.4739227
55088;238.5313568;183.3440552
55089;237.3487396;184.3025055
55090;237.8162994;183.9112091
